vs starrc,,,1-core,,,,,,,,,,4-core,,
pdk,Tool,Metric,aes_cipher_top,ldpc_decoder_803_3an,gcd,ibex_core,mc_top,spi_top,tv80s,usbf_top,vga_enh_top,wb_conmax_top,nova,mpeg2_top,TinyRocketCore
,starrc_fs(1t),MAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
,,R2 score,1,1,1,1,1,1,1,1,1,1,1,1,1
,,real [s],10515.75,33224.93,461.39,11263.49,4554.59,1838.9,3496.58,8712.08,37439.87,14195.74,31200.72,83572.14,111280.03
,,user [s],10447.67,33024.7,423.48,11189.28,4503.14,1797.53,3449.38,8649.79,35427.23,14118.6,152065.11,407370.9,519895.51
,,sys [s],9.79,66.19,2.12,10.5,4.52,2.87,3.64,5.86,33.94,11.86,216.06,1130.29,723.18
,invs (vs fs),MAPE,4.09196779,3.206477684,5.436132051,4.369351712,4.690801728,4.49843435,4.86923329,5.180039841,4.207808783,4.603314434,6.153648592,5.272960805,6.10708897
,,R2 score,0.999415271,0.999813803,0.998941779,0.999604833,0.999117575,0.999322483,0.999469368,0.999713917,0.99960726,0.999786987,0.997961418,0.997786669,0.998942847
,,real [s],59.82,252.95,37.28,62.14,43.79,40.23,41.82,51.15,132.23,87.83,122.22,255.93,353.24
,,user [s],54.28,249.58,30.01,56.91,36.92,33.18,35.66,44.88,128.28,78.05,109.45,265.37,369.51
,,sys [s],8.4,11.34,8.41,8.52,8.59,8.42,7.61,8.54,10.49,8.23,10.21,14.73,19.49
,openrcx (vs fs),MAPE,6.977065116,7.023260383,8.432432209,7.621385697,7.969581213,8.07265898,7.604512098,8.625866852,7.008512119,8.730672404,7.89127414,7.675331702,6.538646793
,,R2 score,0.995336881,0.993082265,0.993112954,0.993343745,0.992390636,0.995248178,0.994527589,0.992730796,0.990425515,0.996096327,0.991312756,0.993003782,0.996592367
,,real [s],8.35,28.74,4.17,8.8,5.38,4.68,5.1,6.48,23.1,11.5,64.18,201.65,359.52
,,user [s],7.78,27.91,3.71,8.2,4.87,4.2,4.65,6.01,22.37,10.83,62.21,197.74,352.04
,,sys [s],0.49,0.69,0.41,0.54,0.46,0.43,0.4,0.4,0.6,0.55,1.45,3.35,6.07
