net_name,wirelen_M4,wirelen_M2,wirelen_M3,n_via_v3,n_via_v2,n_via_v1,wirelen_M5,n_via_v4,wirelen_M1,wirelen_M6,wirelen_M7,wirelen_M8,n_via_v5,n_via_v6,n_via_v7,R_gold,R_pred_analytic,ape,bias_signed,R_pred_analytic_cal,ape_cal,bias_signed_cal,q,R_v7,ape_v7
FE_RN_16_0,5.31,0.63,5.04,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,252.80910799999998,213.380584,15.596164359711274,-15.596164359711274,249.64116191195606,1.253098083809512,-1.253098083809512,Q3,305.067,20.670889752911922
FE_RN_15_0,8.91,0.0,1.755,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,405.84232899999995,209.3313976,48.4205114543387,-48.4205114543387,244.90388179609468,39.65541189369266,-39.65541189369266,Q4_long,337.127,16.931533280255728
FE_RN_14_0,0.0,1.026,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,47.413106000000006,36.818596,22.34510854446027,-22.34510854446027,43.075320692752896,9.148916139868815,-9.148916139868815,Q1_short,51.6813,9.002139619370208
FE_RN_13_0,0.0,3.2220000000000004,0.27,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,112.300923,95.72592080000001,14.759453223728165,-14.759453223728165,111.99299226589372,0.27420142762876376,-0.27420142762876376,Q2,124.907,11.22526570863536
FE_RN_12_0,0.0,1.188,0.45,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,82.156348,71.238296,13.289358967124475,-13.289358967124475,83.34409182265549,1.4457115628551205,1.4457115628551205,Q2,90.9622,10.71840729824067
FE_RN_11_0,0.0,0.936,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,42.680992,35.626456000000005,16.52851929964514,-16.52851929964514,41.680595787689754,2.3438916609769747,-2.3438916609769747,Q1_short,46.9601,10.025793214928072
FE_RN_10_0,0.0,0.972,0.45,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,79.579808,68.37716,14.07724934445682,-14.07724934445682,79.99675205050393,0.5239319633743387,0.5239319633743387,Q2,83.4645,4.881504614838982
FE_OCPN2454_i_tv80_core_n_18881,0.0,1.836,9.36,0.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,316.4180610000001,288.44759439999996,8.839718728950848,-8.839718728950848,337.4645962011455,6.651496167643047,6.651496167643047,Q4_long,227.61,28.06668516940316
FE_OFN2450_n_2406,2.07,6.227999999999999,5.22,2.0,7.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,498.3323160000001,450.5128256,9.59590395096916,-9.59590395096916,527.0701913489112,5.766809501656134,5.766809501656134,Q4_long,499.422,0.2186661320194053
FE_OFN2449_n_2045,28.26,1.4760000000000002,10.35,9.0,7.0,7,22.14,7.0,0.0,0.0,0.0,0.0,0,0,0,1255.0209280000008,1223.4963064833332,2.5118801458478606,-2.5118801458478606,1431.4097085116516,14.054648538231442,14.054648538231442,Q4_long,1025.62,18.278653597081753
FE_OFN2447_i_tv80_core_i_mcode_n_12691,4.5,6.389999999999999,5.4,4.0,9.0,10,16.83,5.0,0.0,0.0,0.0,0.0,0,0,0,854.38889,795.6770331527777,6.871795447530023,-6.871795447530023,930.8894714756118,8.953836171209092,8.953836171209092,Q4_long,651.782,23.713661585650993
CTS_2,55.98,14.274,78.66000000000001,57.0,99.0,100,14.04,10.0,0.0,0.0,0.0,0.0,0,0,0,6043.929918000012,5543.408246433333,8.281394363558492,-8.281394363558492,6485.420789700042,7.304698725661662,7.304698725661662,Q4_long,4590.51,24.04759713826994
CTS_1,41.49,14.417999999999992,93.33000000000004,44.0,100.0,101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5597.332681999995,5084.4685888,9.16265161170913,-9.16265161170913,5948.491762553595,6.273686066273396,6.273686066273396,Q4_long,4205.38,24.86814275800082
CTS_5,48.42,12.167999999999994,86.80500000000009,53.0,86.0,86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5317.855522,4820.634252000002,9.350033447561538,-9.350033447561538,5639.8230488574045,6.054461719116345,6.054461719116345,Q4_long,4245.99,20.15597297755996
CTS_4,53.99999999999999,6.029999999999996,73.26000000000003,55.0,74.0,66,7.83,6.0,0.0,0.0,0.0,0.0,0,0,0,5171.891140999995,4450.668607941667,13.945044731140225,-13.945044731140225,5206.987729359789,0.678602611751968,0.678602611751968,Q4_long,4623.82,10.597112855976013
FE_OFN2444_n_64,0.0,1.026,2.25,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,120.06026000000001,105.253936,12.332410407906844,-12.332410407906844,123.14013949294777,2.565278046997194,2.565278046997194,Q2,129.206,7.617624682805097
