label,mean,median,p90,ci_lo,ci_hi
val_tuned_nelder,8.059328905703678,6.064189597836147,16.30981741811315,7.767366940527438,8.334837865742374
nnls_log,8.296986129043416,6.288133154814392,16.639325367927093,8.018926006386833,8.60006252445309
val_tuned_median,8.384240906383669,6.253210512979221,16.932619783086796,8.089451814112289,8.687700600465226
val_tuned_trimmed,8.059328905703678,6.064189597836147,16.30981741811315,7.780496238149749,8.3541997693505
val_tuned_huber,8.283799776280288,6.211627281080171,16.739338461349142,7.998930937836609,8.59212029322456
val_tuned_mean,8.182479110964973,6.2233430611702625,16.391103662125467,7.886325441997063,8.486139808713464
uniform_mean,8.124169128434778,6.127822755107928,16.327441825629194,7.828866430153731,8.414019282038506
median,8.128939999735804,6.1482988916639085,16.3450098683952,7.834052925957817,8.410994470033323
geomean,8.123389035134249,6.130914748562299,16.31463695635363,7.827541234699872,8.415729488786253
top3_mean,8.094660819055209,6.099964830307483,16.358651402988407,7.804795972689844,8.386800128776438
top3_median,8.059328905703678,6.064189597836147,16.30981741811315,7.776716775429209,8.36184449252413
top3_geomean,8.094006156183195,6.101734456644336,16.356139363546884,7.816852265415457,8.394571623255212
