net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_63,1.97552,2.1826,0.20707999999999993,0.99960911,0.851805,0.9759112612399999,1.3307952289999987,452.65166800000003,442.601,10.482303393536888,1-5fF
i_tv80_core_i_mcode_n_13592,0.578109,0.547339,0.030769999999999964,0.2432632,0.230705,0.3348458109799998,0.3166340579999999,152.44680200000002,126.916,5.322525682872947,<1fF
n_526,0.240882,0.259129,0.018246999999999985,0.1051589,0.10914,0.13572330370000002,0.1499897711999999,54.37733300000001,63.5661,7.575078254082905,<1fF
i_tv80_core_I[7],2.25141,2.1653,0.08611000000000013,0.9862851100000001,0.771771,1.2651290454999982,1.3935241629999993,369.05392199999994,272.544,3.8247142901559528,1-5fF
n_1198,0.276047,0.286768,0.010721000000000036,0.1263042,0.111718,0.14974305899999998,0.1750503279999999,82.6121,84.7619,3.883758925110592,<1fF
n_2289,0.463967,0.455268,0.008699000000000012,0.12778240000000002,0.144979,0.3361846932999999,0.31028798300000004,99.14008,91.9277,1.8749178282076122,<1fF
n_780,0.425823,0.418727,0.007095999999999991,0.2071906,0.161507,0.21863327459999998,0.25722041999999995,121.53759199999999,89.8191,1.6664200853406208,<1fF
n_2277,0.133049,0.1531,0.020051000000000013,0.0691686,0.0644043,0.0638808162,0.08869620300000003,49.090298000000004,50.77,15.070387601560336,<1fF
n_1775,2.12016,2.16931,0.04915000000000003,0.8458357000000001,0.702859,1.2743244376200007,1.466456117999999,505.33770100000027,377.385,2.3182212663195245,1-5fF
n_2082,0.710662,0.753762,0.04310000000000003,0.21695476600000002,0.235484,0.49370746099999996,0.5182781649999998,155.384132,153.013,6.064767779900997,<1fF
n_1743,0.411548,0.412768,0.0012199999999999989,0.06027197,0.0944333,0.35127632049999996,0.31833472399999996,92.51578099999998,100.668,0.296441727331927,<1fF
n_987,0.335197,0.318059,0.017138000000000042,0.045554159999999996,0.110589,0.2896432178,0.20747005699999993,84.46311500000002,88.3809,5.1128142554975256,<1fF
i_tv80_core_i_mcode_n_14660,5.87487,4.63771,1.2371599999999994,1.27269848,1.49827,4.602166693710008,3.139447889000001,863.8856109999999,548.673,21.05850852869935,5-20fF
