net_name,R_pred,R_gold,total_cap_gold,design_name,split,total_cap_fF,c_gnd_fF,c_cpl_total_fF,total_res_ohm,n_aggressors_spef,cpl_p95_fF,tgt_n_cuboids,tgt_n_pins,tgt_n_wires,tgt_pin_to_wire_ratio,tgt_total_metal_area_um2,tgt_total_volume_um3,tgt_wire_length_um,tgt_bbox_xy_um2,tgt_bbox_z_um,tgt_aspect_ratio,tgt_z_min,tgt_z_max,tgt_z_mean,tgt_z_std,tgt_n_tiles,tgt_eps_min,tgt_eps_max,tgt_eps_mean,tgt_eps_std,tgt_is_signal,tgt_is_clock,tgt_is_vdd,tgt_is_vss,tgt_count_M1,tgt_count_M2,tgt_count_M3,tgt_count_M4,tgt_count_M5,tgt_count_M6,tgt_count_M7,tgt_count_M8,tgt_count_M9p,tgt_wirelen_M1,tgt_wirelen_M2,tgt_wirelen_M3,tgt_wirelen_M4,tgt_wirelen_M5,tgt_wirelen_M6,tgt_wirelen_M7,tgt_wirelen_M8,tgt_wirelen_M9p,tgt_area_M1,tgt_area_M2,tgt_area_M3,tgt_area_M4,tgt_area_M5,tgt_area_M6,tgt_area_M7,tgt_area_M8,tgt_area_M9p,agg_total_count,agg_unique_nets,agg_total_metal_area_um2,agg_density_per_tile,agg_top1_area,agg_top3_area,agg_count_M1,agg_count_M2,agg_count_M3,agg_count_M4,agg_count_M5,agg_count_M6,agg_count_M7,agg_count_M8,agg_count_M9p,agg_area_M1,agg_area_M2,agg_area_M3,agg_area_M4,agg_area_M5,agg_area_M6,agg_area_M7,agg_area_M8,agg_area_M9p,cpl_n_pairs,cpl_min_dist_um,cpl_p10_dist_um,cpl_p25_dist_um,cpl_p50_dist_um,cpl_p75_dist_um,cpl_p95_dist_um,cpl_mean_dist_um,cpl_total_lateral_overlap_um2,cpl_total_broadside_overlap_um2,cpl_n_below_0p5um,cpl_n_below_1um,cpl_n_below_2um,cpl_sum_inv_d,cpl_sum_inv_d2,cpl_lat_weighted_inv_d,cpl_bs_weighted_inv_d,pwr_n_cuboids,pwr_total_metal_area_um2,pwr_count_M1,pwr_count_M2,pwr_count_M3,pwr_count_M4,pwr_count_M5,pwr_count_M6,pwr_count_M7,pwr_count_M8,pwr_count_M9p,pwr_area_M1,pwr_area_M2,pwr_area_M3,pwr_area_M4,pwr_area_M5,pwr_area_M6,pwr_area_M7,pwr_area_M8,pwr_area_M9p,compact_gnd_fF,compact_cpl_fF,compact_total_fF,v3_agg_count_within_0p3um,v3_agg_count_within_0p5um,v3_agg_count_within_1um,v3_agg_count_within_2um,v3_agg_count_within_3um,v3_agg_area_within_0p3um,v3_agg_area_within_0p5um,v3_agg_area_within_1um,v3_agg_area_within_2um,v3_agg_area_within_3um,v3_pwr_count_within_0p3um,v3_pwr_count_within_0p5um,v3_pwr_count_within_1um,v3_pwr_count_within_2um,v3_pwr_count_within_3um,v3_pwr_area_within_0p3um,v3_pwr_area_within_0p5um,v3_pwr_area_within_1um,v3_pwr_area_within_2um,v3_pwr_area_within_3um,v3_bbox_x_um,v3_bbox_y_um,v3_length_density,v3_cuboid_density,v3_agg_M1_within_1um,v3_agg_M2_within_1um,v3_agg_M3_within_1um,v3_agg_M4_within_1um,v3_agg_M5_within_1um,v3_cap_proxy_lateral,v3_cap_proxy_broadside,ape,err_signed_pct,R_analytic_uncalib,R_analytic,ape_analytic,n_layers,log_wl,wl_q
n_54,2.79211,232.92621699999995,0.875565,intel22_tv80s_f3,test,0.875565,0.4852483,0.3903166810799996,232.92621699999995,29,0.0125889,5.0,4.0,1.0,4.0,0.22328537702560425,0.017667576670646667,2.8760108947753906,7.91832468060602,0.5299999117851257,0.626898625143695,0.5472000241279602,1.077199935913086,0.6729000210762024,0.18039999902248383,1.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6160125732421875,0.0,0.0,1.2599983215332031,0.0,0.0,0.0,0.0,0.0,0.10989014059305191,0.0,0.0,0.11339523643255234,0.0,0.0,0.0,0.0,0.0,8504.0,249.0,179.6046600341797,8504.0,8.704237778671086,15.565726991626434,2804.0,3171.0,1897.0,524.0,108.0,0.0,0.0,0.0,0.0,45.57292556762695,41.249290466308594,42.46125793457031,27.01581573486328,23.305360794067383,0.0,0.0,0.0,0.0,16728.0,0.0,0.9642972946166992,1.7274847030639648,2.632401943206787,3.340001344680786,3.8655319213867188,2.4761621952056885,0.02015194110572338,0.3367014229297638,676.0,1778.0,5319.0,11389.388671875,40973.96484375,0.4030388593673706,2.919999122619629,128.0,22.23958969116211,14.0,32.0,31.0,28.0,16.0,7.0,0.0,0.0,0.0,3.0766022205352783,3.128877639770508,2.2163913249969482,3.131760358810425,4.009326934814453,6.676631927490234,0.0,0.0,0.0,0.00781765952706337,0.08238209781607732,0.09019975734314069,292.0,524.0,1022.0,2233.0,3563.0,9.836895942687988,15.208663940429688,28.395885467529297,54.99360275268555,88.4275894165039,38.0,58.0,110.0,128.0,128.0,11.938239097595215,15.083684921264648,22.14137077331543,22.23958969116211,22.23958969116211,2.2280006408691406,3.554004669189453,0.36320951852599187,0.6314467013769043,309.0,387.0,248.0,67.0,11.0,0.4030388593673706,2.919999122619629,98.80128993809228,-98.80128993809228,72.62772820212624,122.89343652684981,47.23932835484559,2,0.4587905268888255,Q2
n_52,3.68129,277.93122200000005,1.53438,intel22_tv80s_f3,test,1.53438,0.7430489900000001,0.7913336497940001,277.93122200000005,35,0.0186794,26.0,4.0,22.0,0.18181818181818182,0.9297180771827698,0.07890744507312775,11.400988578796387,14.907284606422763,0.5299999117851257,1.6410048550570557,0.5472000241279602,1.077199935913086,0.8027961254119873,0.145387664437294,5.0,2.799999952316284,2.799999952316284,2.8000001907348633,2.384185791015625e-07,1.0,0.0,0.0,0.0,5.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5970009565353394,2.2159976959228516,4.3759918212890625,3.2119979858398438,0.0,0.0,0.0,0.0,0.0,0.10676173865795135,0.1816750019788742,0.36818599700927734,0.2730953097343445,0.0,0.0,0.0,0.0,0.0,33160.0,242.0,692.1738891601562,6632.0,32.86512145382585,62.51014661620138,10998.0,12427.0,7366.0,1971.0,398.0,0.0,0.0,0.0,0.0,179.69524574279785,165.43366241455078,167.661376953125,101.30510330200195,78.0784912109375,0.0,0.0,0.0,0.0,114926.0,0.0,0.8530972003936768,1.6003495454788208,2.529127597808838,3.301764726638794,3.8660449981689453,2.4032986164093018,0.09512015711516142,1.564559444785118,5267.0,14175.0,40103.0,81796.1064453125,283780.2265625,1.902403011918068,14.888797521591187,640.0,78.49682331085205,63.0,156.0,151.0,156.0,69.0,38.0,3.0,4.0,0.0,10.227809332311153,10.498007148504257,2.4818747714161873,12.355664759874344,6.14337283372879,24.079905167222023,0.07199734635651112,12.638192743062973,0.0,0.029192065820097923,0.41627403902275123,0.44546610484284915,1628.0,3239.0,6633.0,12321.0,17320.0,45.854957580566406,80.42129230499268,158.16911506652832,290.7328071594238,378.8149948120117,221.0,291.0,502.0,640.0,640.0,28.12591576576233,50.568196296691895,58.766175508499146,78.49682331085205,78.49682331085205,4.946001052856445,3.014007568359375,0.7647931115425476,1.744113746161254,2128.0,2522.0,1539.0,387.0,57.0,1.902403011918068,14.888797521591187,98.67546727081996,-98.67546727081996,153.4710529446602,259.68849047947015,6.563757532980551,4,1.056942510608568,Q4_long
n_71,5.13627,262.55846299999996,1.42238,intel22_tv80s_f3,test,1.42238,0.7910046799999999,0.6313759685020004,262.55846299999996,33,0.00909408,24.0,4.0,20.0,0.2,0.7407175302505493,0.06266413629055023,9.210004806518555,12.182216192013584,0.37699997425079346,2.143461076886151,0.5472000241279602,0.9241999983787537,0.7105750441551208,0.09415138512849808,4.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,6.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4879930019378662,5.67999267578125,2.0420188903808594,0.0,0.0,0.0,0.0,0.0,0.0,0.09751352667808533,0.47540560364723206,0.16779834032058716,0.0,0.0,0.0,0.0,0.0,0.0,37138.0,433.0,822.7174835205078,9284.5,14.061205868143588,41.66458253738587,11015.0,13749.0,8784.0,2835.0,755.0,0.0,0.0,0.0,0.0,158.8575325012207,153.14776611328125,198.11978912353516,176.71828079223633,135.8741683959961,0.0,0.0,0.0,0.0,98492.0,0.0,1.0127934217453003,1.734326720237732,2.6695737838745117,3.408742904663086,3.89227294921875,2.5173606872558594,0.06905767321586609,0.9801959097385406,3487.0,9661.0,31091.0,64834.23046875,223438.91796875,1.3811534643173218,10.34381651878357,512.0,205.22636032104492,57.0,126.0,111.0,114.0,49.0,36.0,5.0,9.0,5.0,12.484597444534302,12.68367624282837,0.36879339069128036,10.855043411254883,0.542833186686039,20.69454860687256,0.1199932862073183,29.07686385512352,118.40000915527344,0.02664588950574398,0.29067607089486674,0.3173219604006107,1118.0,1996.0,4480.0,9363.0,14527.0,40.79124069213867,77.64790534973145,165.89829635620117,278.94832611083984,414.3039321899414,111.0,265.0,433.0,505.0,505.0,20.612818241119385,31.167426586151123,53.19600486755371,74.98631477355957,74.98631477355957,5.1100006103515625,2.3839950561523438,0.756020469621648,1.9700848861748093,1469.0,1671.0,948.0,312.0,80.0,1.3811534643173218,10.34381651878357,98.04376140029429,-98.04376140029429,129.50984797694466,219.14371653842622,16.53526836100261,3,0.964259856846571,Q4_long
n_62,4.64753,140.184885,0.618022,intel22_tv80s_f3,test,0.618022,0.21566600000000002,0.40235667529999986,140.184885,19,0.0206647,24.0,4.0,20.0,0.2,0.47439324855804443,0.039591848850250244,6.34699821472168,2.6129941450199112,0.37699997425079346,2.932204280218537,0.5472000241279602,0.9241999983787537,0.7105750441551208,0.09415138512849808,1.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,6.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3979966640472412,4.1669921875,0.7820091247558594,0.0,0.0,0.0,0.0,0.0,0.0,0.09139370173215866,0.32859742641448975,0.054402098059654236,0.0,0.0,0.0,0.0,0.0,0.0,8988.0,285.0,199.69992065429688,8988.0,5.942399493884295,14.077033096109517,2825.0,3332.0,2079.0,609.0,143.0,0.0,0.0,0.0,0.0,44.05192947387695,41.259979248046875,50.94465637207031,36.06806564331055,27.37528419494629,0.0,0.0,0.0,0.0,69989.0,0.0,0.9450995922088623,1.7206498384475708,2.5768043994903564,3.3016107082366943,3.8706679344177246,2.4519577026367188,0.013906005769968033,0.33956244587898254,2311.0,7523.0,22929.0,45015.41015625,128204.3359375,0.27812010049819946,3.753861427307129,128.0,16.93343734741211,12.0,27.0,26.0,32.0,14.0,13.0,2.0,2.0,0.0,3.111248016357422,3.1545491218566895,0.08597192168235779,3.185971260070801,0.16481564939022064,6.92367696762085,0.04799731448292732,0.2592063844203949,0.0,0.01769131049513817,0.09995765874985865,0.11764896924499682,274.0,398.0,783.0,1667.0,2862.0,9.422399520874023,15.611494064331055,25.82513427734375,46.95384979248047,75.68704223632812,53.0,77.0,126.0,128.0,128.0,5.702419757843018,8.099031448364258,16.674230575561523,16.93343734741211,16.93343734741211,2.7680015563964844,0.944000244140625,2.4290135616332638,9.184865586377775,258.0,291.0,181.0,40.0,13.0,0.27812010049819946,3.753861427307129,96.68471390478368,-96.68471390478368,99.66534197330475,168.64380424561497,20.300989828978327,3,0.802568376155987,Q3
n_50,12.1461,287.797108,1.48992,intel22_tv80s_f3,test,1.48992,0.8553192000000001,0.6345977939000005,287.797108,38,0.0154784,33.0,4.0,29.0,0.13793103448275862,1.061029314994812,0.09013025462627411,13.09701156616211,17.389050887941266,0.5299999117851257,2.0338553965375534,0.5472000241279602,1.077199935913086,0.7894272208213806,0.13971388339996338,5.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,6.0,10.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.7580125331878662,2.490995407104492,4.556007385253906,4.291996002197266,0.0,0.0,0.0,0.0,0.0,0.11587506532669067,0.19047628343105316,0.38438674807548523,0.37029117345809937,0.0,0.0,0.0,0.0,0.0,30358.0,246.0,630.1406478881836,6071.6,30.632348669343628,56.919663043103355,10130.0,11322.0,6754.0,1819.0,333.0,0.0,0.0,0.0,0.0,165.4039077758789,150.09798049926758,157.0925521850586,93.06056880950928,64.48563528060913,0.0,0.0,0.0,0.0,129077.0,0.0,0.8234073519706726,1.533429741859436,2.5438408851623535,3.32800030708313,3.8700008392333984,2.4006588459014893,0.09382534213364124,2.070923313498497,5692.0,17013.0,46717.0,90267.498046875,279388.65625,1.876506745815277,19.803831219673157,640.0,46.70973563194275,62.0,156.0,152.0,155.0,65.0,42.0,4.0,4.0,0.0,8.749584551900625,9.022605523467064,0.5016683638095856,10.210296869277954,0.7247119545936584,16.886458545923233,0.09599646180868149,0.5184127688407898,0.0,0.03284725546836853,0.5374815854167598,0.5703288408851284,1732.0,3217.0,6508.0,11308.0,15025.0,48.67788505554199,74.67405319213867,143.1502456665039,254.89680099487305,321.82386779785156,212.0,298.0,526.0,640.0,640.0,25.688715182244778,30.346086993813515,43.24013489484787,46.70973563194275,46.70973563194275,5.947000503540039,2.9240036010742188,0.7531757570072128,1.897745898419586,2135.0,2407.0,1570.0,363.0,33.0,1.876506745815277,19.803831219673157,95.77963097530501,-95.77963097530501,174.16136757893997,294.69858829158886,2.398036707022394,4,1.117172211046233,Q4_long
i_tv80_core_n_197,14.3993,266.693756,1.20781,intel22_tv80s_f3,test,1.20781,0.33113086,0.8766747253999999,266.693756,49,0.0161472,5.0,4.0,1.0,4.0,0.35880807042121887,0.029751988127827644,4.316001892089844,8.492777545179706,0.5299999117851257,1.2057280924037952,0.5472000241279602,1.077199935913086,0.6729000210762024,0.18039998412132263,1.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3460006713867188,0.0,0.0,2.970001220703125,0.0,0.0,0.0,0.0,0.0,0.09151884913444519,0.0,0.0,0.2672892212867737,0.0,0.0,0.0,0.0,0.0,12768.0,352.0,311.0897216796875,12768.0,6.173000984359533,16.81172733847052,3510.0,4509.0,3085.0,1268.0,396.0,0.0,0.0,0.0,0.0,46.30603790283203,53.23216247558594,78.63788604736328,55.829769134521484,77.08387756347656,0.0,0.0,0.0,0.0,24273.0,0.0,0.9550772905349731,1.734598159790039,2.6218292713165283,3.340334415435791,3.860793113708496,2.4793944358825684,0.020151399075984955,0.6604467630386353,849.0,2602.0,7719.0,15879.841796875,50963.70703125,0.4030279815196991,6.518643379211426,128.0,23.460187911987305,9.0,29.0,36.0,29.0,15.0,7.0,1.0,2.0,0.0,0.039601266384124756,0.0990830510854721,3.1833300590515137,0.11246407777070999,4.625038146972656,0.1270463615655899,0.02400018274784088,15.24962329864502,0.0,0.010838313028216362,0.17159653611588582,0.18243484914410218,325.0,672.0,1516.0,3192.0,5029.0,20.51041030883789,32.789276123046875,63.372676849365234,110.96707153320312,160.78860473632812,40.0,73.0,119.0,128.0,128.0,7.771825790405273,7.916821002960205,23.387245178222656,23.460187911987305,23.460187911987305,3.1999969482421875,2.6539955139160156,0.508196743542341,0.5887355430424382,432.0,530.0,357.0,143.0,54.0,0.4030279815196991,6.518643379211426,94.60081097661694,-94.60081097661694,78.82503682916814,133.3799073727378,49.98761524332883,2,0.6350816264010487,Q3
n_1245,106.821,54.960332,0.0948789,intel22_tv80s_f3,test,0.0948789,0.0643422,0.030536719799999997,54.960332,5,0.00320901,7.0,3.0,4.0,0.75,0.1458679586648941,0.011349733918905258,2.278996467590332,0.6738215961377136,0.2239999771118164,2.761119691119691,0.5472000241279602,0.7712000012397766,0.6339142918586731,0.0636754259467125,1.0,2.799999952316284,2.799999952316284,2.799999713897705,2.384185791015625e-07,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.460997462272644,0.8179988861083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08033333718776703,0.06553462892770767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6151.0,190.0,127.64984130859375,6151.0,4.642070213740226,10.931920525443275,1950.0,2343.0,1426.0,351.0,81.0,0.0,0.0,0.0,0.0,30.012821197509766,28.610549926757812,37.532508850097656,19.37959098815918,12.114378929138184,0.0,0.0,0.0,0.0,12087.0,0.0,0.958132803440094,1.7326290607452393,2.7295610904693604,3.321361541748047,3.870176315307617,2.495368003845215,0.006953002884984016,0.04596498981118202,501.0,1293.0,3877.0,7965.3955078125,25005.171875,0.13906005024909973,0.4165075421333313,128.0,71.14645385742188,16.0,40.0,32.0,23.0,9.0,4.0,0.0,2.0,2.0,2.517162322998047,2.5868678092956543,0.1073569804430008,1.9271254539489746,0.08813206851482391,4.505382537841797,0.0,14.214424133300781,45.20000457763672,0.006024331785738468,0.013773185888935434,0.0197975176746739,75.0,141.0,292.0,654.0,1292.0,1.6107161045074463,4.785666465759277,8.888843536376953,17.734821319580078,32.38700866699219,20.0,43.0,97.0,125.0,125.0,3.1335127353668213,3.2188072204589844,8.15103816986084,20.02643585205078,20.02643585205078,1.3640022277832031,0.4940032958984375,3.3821956444455625,10.388506453523286,114.0,115.0,56.0,6.0,1.0,0.13906005024909973,0.4165075421333313,94.36017962919146,94.36017962919146,62.595576020804316,105.91802385950315,92.71721986596286,2,0.35774365203109276,Q1_short
FE_OFN9_i_tv80_core_i_mcode_n_11773,15.0068,233.286,1.07158,intel22_tv80s_f3,test,1.07158,0.44631319999999997,0.6252629491999998,233.286,46,0.0152377,29.0,4.0,25.0,0.16,0.6667517423629761,0.055974479764699936,8.569989204406738,2.6395407517557032,0.37699997425079346,0.09208146956433762,0.5472000241279602,0.9241999983787537,0.7296308875083923,0.10923611372709274,3.0,2.799999952316284,2.799999952316284,2.8000004291534424,4.76837158203125e-07,1.0,0.0,0.0,0.0,7.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.649004578590393,1.6530002355575562,5.267984390258789,0.0,0.0,0.0,0.0,0.0,0.0,0.10661333054304123,0.10999812930822372,0.45014017820358276,0.0,0.0,0.0,0.0,0.0,0.0,34716.0,391.0,842.42578125,11572.0,16.892383546568453,44.38869193723076,9763.0,12226.0,8280.0,3403.0,1044.0,0.0,0.0,0.0,0.0,129.48962783813477,145.53390502929688,213.88938903808594,152.66273498535156,200.85010147094727,0.0,0.0,0.0,0.0,144715.0,0.0,0.8835731744766235,1.5952190160751343,2.5072906017303467,3.272275447845459,3.856942892074585,2.3983116149902344,0.047257937490940094,1.467553049325943,5649.0,17190.0,51205.0,97151.359375,271735.6015625,0.9451587498188019,13.01345443725586,384.0,77.18392753601074,26.0,78.0,101.0,88.0,59.0,23.0,3.0,6.0,0.0,0.11440365761518478,0.2653941214084625,9.523851156234741,0.3525281995534897,20.70046043395996,0.40642042458057404,0.07200054824352264,45.74886989593506,0.0,0.022195443511009216,0.34605082428229095,0.36824626779330016,1092.0,2124.0,4403.0,9458.0,14019.0,30.48088836669922,61.4294376373291,123.6237564086914,273.9113006591797,416.1705627441406,118.0,171.0,327.0,384.0,384.0,10.928513288497925,11.846389055252075,70.88707160949707,77.18392753601074,77.18392753601074,0.49300384521484375,5.353996276855469,3.2467728330037597,10.98675971595078,1259.0,1591.0,1037.0,426.0,90.0,0.9451587498188019,13.01345443725586,93.56720934818206,-93.56720934818206,127.9016158526594,216.42242568465966,7.228712531116459,3,0.9329802748439058,Q4_long
n_610,15.2397,182.16837999999998,0.759143,intel22_tv80s_f3,test,0.759143,0.24924064000000007,0.5099021997999997,182.16837999999998,26,0.0143954,8.0,4.0,4.0,1.0,0.1560841202735901,0.011815883219242096,2.2350149154663086,3.2591082901053596,0.2239999771118164,0.40578691832331204,0.5472000241279602,0.7712000012397766,0.627512514591217,0.06192430853843689,1.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5970085859298706,0.6380062103271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067497655749321,0.04933434724807739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10144.0,294.0,231.13931274414062,10144.0,4.47029212792404,12.259665718767792,2839.0,3687.0,2406.0,940.0,272.0,0.0,0.0,0.0,0.0,36.9500732421875,40.6654167175293,60.0144157409668,39.18407440185547,54.32532501220703,0.0,0.0,0.0,0.0,25183.0,0.0,0.9552249312400818,1.733001708984375,2.616421937942505,3.360210657119751,3.8922433853149414,2.4802517890930176,0.012329427525401115,0.2847827970981598,906.0,2645.0,8164.0,16565.84765625,53426.20703125,0.2465885579586029,2.2797415256500244,128.0,7.536170482635498,10.0,30.0,38.0,29.0,15.0,6.0,0.0,0.0,0.0,0.04400140792131424,0.10207466036081314,2.5767464637756348,0.11246408522129059,4.625038146972656,0.07584401965141296,0.0,0.0,0.0,0.006634142715483904,0.06263075330216282,0.06926489601764672,230.0,394.0,818.0,1749.0,2982.0,7.070498466491699,16.814617156982422,34.64801788330078,63.572853088378906,95.89958190917969,26.0,52.0,110.0,128.0,128.0,1.9288774728775024,4.258604049682617,7.413768768310547,7.536170482635498,7.536170482635498,1.1500015258789062,2.834003448486328,0.6857749778526248,2.454659154557082,233.0,309.0,190.0,63.0,23.0,0.2465885579586029,2.2797415256500244,91.63427813323037,-91.63427813323037,65.97788125276566,111.64122522664029,38.71536584634485,2,0.3492804257601692,Q1_short
FE_OFN85_n_2436,22.7446,266.56445299999996,1.54506,intel22_tv80s_f3,test,1.54506,0.7623915699999999,0.7826708349220005,266.56445299999996,49,0.0109809,17.0,4.0,13.0,0.3076923076923077,0.8519169688224792,0.0725933164358139,10.09399127960205,10.518588557250041,0.5299999117851257,4.7762835730158875,0.5472000241279602,1.077199935913086,0.7930529713630676,0.1696004569530487,4.0,2.799999952316284,2.799999952316284,2.799999952316284,0.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3269966840744019,2.7439937591552734,1.3470021486282349,4.675998687744141,0.0,0.0,0.0,0.0,0.0,0.08840072154998779,0.23887568712234497,0.1163882166147232,0.4082522988319397,0.0,0.0,0.0,0.0,0.0,54044.0,453.0,1208.7743835449219,13511.0,30.28951327552204,69.68631635644124,16313.0,20075.0,12230.0,4297.0,1129.0,0.0,0.0,0.0,0.0,249.27802276611328,244.57516860961914,287.7271270751953,237.06430053710938,190.1297721862793,0.0,0.0,0.0,0.0,130593.0,0.0,0.9846701622009277,1.6949959993362427,2.6360015869140625,3.3904476165771484,3.8834967613220215,2.4919285774230957,0.09923874959349632,2.3682319819927216,4930.0,13393.0,42853.0,84972.7138671875,259599.3359375,1.9847750067710876,22.823934078216553,512.0,151.42372512817383,50.0,115.0,124.0,115.0,57.0,37.0,5.0,9.0,0.0,10.005305528640747,10.192565202713013,11.69027853012085,12.692306756973267,20.063998699188232,27.388769149780273,0.11999801732599735,59.27050018310547,0.0,0.026342928409576416,0.6150376581937166,0.641380586603293,1634.0,3064.0,6462.0,14802.0,22231.0,85.27349090576172,130.55698776245117,234.06587982177734,444.94080352783203,614.5243530273438,174.0,284.0,450.0,512.0,512.0,44.27398872375488,64.31099224090576,135.6136932373047,151.42372512817383,151.42372512817383,7.088001251220703,1.483999252319336,0.9596336261907181,1.6161864215406145,1962.0,2306.0,1473.0,544.0,177.0,1.9847750067710876,22.823934078216553,91.46750448380303,-91.46750448380303,133.44732406464487,225.8063229511325,15.290159505576485,4,1.0040629252022693,Q4_long
