net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_1534,0.264887,0.255286,0.00960099999999997,0.10080298999999998,0.10801509380000002,0.16408367059999995,0.14727039240000003,83.37699099999999,82.19138406,3.624564436910823,<1fF
n_1419,4.81027,4.884222,0.07395200000000024,1.31061337,1.7802404670999994,3.4996541122189977,3.10398147,717.2244379999996,698.9359455899994,1.5373773197762337,1-5fF
n_441,1.17854,1.180238,0.0016979999999999773,0.25238924,0.4212177078999999,0.9261498265599992,0.7590201700000002,216.820156,210.80089615000003,0.14407656931457374,1-5fF
n_2015,0.253432,0.209117,0.04431499999999999,0.05925427,0.095629833,0.1941777591,0.11348760340000001,80.34275,79.4706227,17.485952839420435,<1fF
n_1719,2.45158,2.385377,0.06620299999999979,0.97224787,0.8374060622999991,1.4793347781819999,1.5479712399999999,541.9850290000004,539.6917857999993,2.700421768818468,1-5fF
n_1956,0.185515,0.184517,0.0009980000000000266,0.0555618,0.07218951945999999,0.1299528711,0.11232777900000002,89.81681099999997,89.36442774000001,0.5379618898741485,<1fF
FE_OFN9_i_tv80_core_i_mcode_n_11773,1.07158,1.116815,0.045234999999999914,0.44631319999999997,0.3637748118000001,0.6252629491999998,0.7530397999999999,233.286,232.83641987999997,4.221336717743885,1-5fF
n_1738,0.156279,0.145628,0.010650999999999994,0.0596303,0.06205294751,0.0966487591,0.08357538839999998,53.911813,52.540785140000025,6.815375066387674,<1fF
n_351,1.11802,1.009418,0.10860200000000009,0.38688743000000003,0.4224071545499999,0.7311336875,0.5870104599999999,218.48452600000005,220.79861485,9.713779717715255,1-5fF
n_1055,0.352012,0.310794,0.04121799999999998,0.14002972,0.1185890256,0.21198161400000007,0.19220524400000003,128.40095499999998,125.92257629999999,11.709259911593916,<1fF
n_2481,0.381569,0.394622,0.013052999999999981,0.1841058,0.15087220755999997,0.19746302489999995,0.24374995000000002,93.61209,90.61908711,3.420875385579012,<1fF
n_1343,1.30532,1.267433,0.037887000000000004,0.46103784,0.42524501400000003,0.8442866463000002,0.8421880300000002,198.364944,192.41053571999996,2.9025066650323295,1-5fF
n_1755,0.632248,0.585711,0.04653700000000005,0.30648836,0.27975007527,0.325758772,0.30596133500000006,148.61966100000004,139.9930134,7.360561045665633,<1fF
n_1654,0.331398,0.326542,0.004856000000000027,0.1570544,0.1190080542,0.17434394966000002,0.20753374399999994,89.826058,88.78819075999998,1.4653075757850158,<1fF
n_657,0.348738,0.3225,0.026237999999999984,0.101277,0.13886933564000004,0.24746067749999998,0.18363082609999992,91.73856799999999,93.03863850000003,7.52369974020611,<1fF
n_1869,0.358088,0.350148,0.007940000000000003,0.10485035,0.10772812121999997,0.2532382912600002,0.24241964800000002,116.632622,117.35933432000002,2.21733205245638,<1fF
n_33,10.4852,11.899508,1.4143080000000001,3.6190050399999985,4.640329983900021,6.866204490250007,7.259177226,1757.0618400000012,1735.1585222399983,13.488612520505095,5-20fF
n_2142,0.419842,0.427337,0.007495000000000029,0.0943242,0.17289092669999997,0.3255180233999999,0.25444644600000005,93.802434,94.24170599,1.7851953830250498,<1fF
i_tv80_core_add_1283_17_n_350,0.39986,0.409436,0.009576000000000029,0.19193411,0.16730485029999997,0.2079261527000001,0.24213162199999996,116.473277,109.37842239999996,2.394838193367686,<1fF
n_767,2.00222,1.938088,0.06413199999999986,0.6175310499999999,0.6885391585999997,1.3846931297799985,1.2495488599999995,419.20558500000004,400.3139103899999,3.2030446204712697,1-5fF
n_68,1.0007,0.94358,0.05711999999999995,0.49900882,0.41025199999999995,0.5016940715999998,0.533328,208.88088399999998,194.64880247999997,5.70800439692215,1-5fF
i_tv80_core_n_217,0.666648,0.722804,0.056155999999999984,0.1105821,0.2653472010000001,0.55606612613,0.45745701,131.81769899999998,129.49579960000008,8.423635861804128,<1fF
i_tv80_core_i_reg_RegsL\[1\][0],0.939067,0.978986,0.03991900000000004,0.40907684,0.42564399999999986,0.529989769093,0.553342,257.09063900000007,257.56213336,4.250921393255225,<1fF
n_389,0.518512,0.536544,0.018032000000000048,0.11303694,0.17580272000000005,0.40547422348459994,0.36074078900000006,101.36581100000001,100.27103556000002,3.477643718949619,<1fF
n_1319,5.83301,5.232695,0.6003150000000002,2.9932336499999996,2.2643359946199997,2.839780430690003,2.9683594300000005,992.6296149999997,915.5280986299992,10.29168473909697,5-20fF
i_tv80_core_final_adder_add_1282_22_n_399,0.246113,0.24661,0.0004969999999999974,0.1367205,0.09444002079999997,0.10939326259999999,0.15216981300000001,78.99275200000001,77.58138684,0.20193975937882086,<1fF
n_2266,0.246942,0.248614,0.0016720000000000068,0.040862010000000004,0.06457890079999999,0.20608011870000006,0.18403519000000004,79.784078,79.69842653999999,0.6770820678539927,<1fF
i_tv80_core_i_mcode_n_13205,4.8282,4.742695,0.0855049999999995,1.7190765499999998,1.8084496421999983,3.109118976450003,2.93424487,820.8138789999999,802.0467723199989,1.7709498363779357,1-5fF
n_2565,0.159405,0.178936,0.01953100000000002,0.08073292000000001,0.0655186558,0.07867237530000003,0.11341772699999998,69.636183,69.68238661999999,12.252438756626217,<1fF
n_1772,0.350013,0.354744,0.004730999999999985,0.20113609999999998,0.160716464,0.1488766425,0.19402767299999996,88.521671,88.38591090000001,1.351664081048414,<1fF
