net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
di_reg[5],9.83531,10.579527,0.7442170000000008,2.771610510000001,4.060539049800003,7.063703240559992,6.5189875299999995,1445.3794090000004,1447.176097529999,7.566787422053813,5-20fF
n_368,1.17986,1.20981,0.029950000000000143,0.23738633999999997,0.410882504,0.9424724562760005,0.7989269900000003,234.265519,227.11045604999998,2.538436763683839,1-5fF
n_482,0.21927,0.276891,0.057621000000000006,0.0913508,0.09609508260000002,0.12791913740000002,0.18079614800000002,77.772155,89.24794216000001,26.27856067861541,<1fF
n_1681,0.610102,0.669008,0.058906000000000014,0.25370075,0.25726824221000005,0.35640121303999983,0.41173933300000004,139.949839,141.55571618,9.655106850985575,<1fF
n_735,0.709808,0.853322,0.14351400000000003,0.19488640000000002,0.3710109999999999,0.5149217386000001,0.4823110000000001,126.75988999999998,122.26700876000001,20.218707030633638,<1fF
n_1579,0.398848,0.40206,0.0032119999999999926,0.061626600000000004,0.13099657,0.3372210583000001,0.27106386,89.217163,88.14533110000002,0.805319319640563,<1fF
n_1735,0.190146,0.184416,0.005730000000000013,0.0985131,0.0678969784,0.09163335199999999,0.11651900400000001,47.914043,47.797912800000006,3.0134738569309967,<1fF
n_2119,0.338121,0.319404,0.018716999999999984,0.15490940000000003,0.15866658188999994,0.18321220600000007,0.16073780769999998,99.98056400000002,110.09350687999998,5.535592287967912,<1fF
n_78,1.10451,1.171016,0.06650599999999995,0.40845942,0.4146513444000001,0.6960475590209998,0.7563646660000002,205.83432100000005,198.41053371999996,6.021312618265108,1-5fF
i_tv80_core_i_mcode_n_13769,0.331629,0.337631,0.006002000000000007,0.1085553,0.16099939940000005,0.2230739420000001,0.176631172,116.358038,116.35285963999999,1.809853782389359,<1fF
n_2515,0.166077,0.160914,0.005163000000000001,0.03794751,0.0508648312,0.12812918160000003,0.110049573,67.69670099999999,69.25874997999999,3.108798930616522,<1fF
n_2415,0.412576,0.362635,0.04994100000000001,0.345078648,0.2727533101999998,0.06749805419999999,0.0898815468,97.81817899999999,98.80435381000001,12.104678895524707,<1fF
n_1020,0.570158,0.621787,0.051628999999999925,0.113462,0.19644100879999996,0.45669571950000004,0.4253463920000001,107.08878600000001,109.31598084000002,9.05520925778467,<1fF
n_867,0.2873,0.309844,0.02254400000000001,0.05088744,0.0956223917,0.23641288689999998,0.21422203800000003,80.85819200000002,82.99157000000002,7.846849982596591,<1fF
n_1050,0.979825,1.180633,0.2008080000000001,0.193528,0.513317,0.7862973956589997,0.6673160000000001,167.37372699999997,156.0696818999999,20.49427193631517,<1fF
n_1565,0.458441,0.440828,0.01761299999999999,0.11679890000000001,0.14616038819999994,0.3416419627,0.29466801300000006,121.42085099999998,120.20276267999999,3.841933858446341,<1fF
n_2464,0.21025,0.201106,0.009143999999999985,0.0962694,0.07479465829,0.11398016150000001,0.12631107800000002,54.66892500000001,53.36062540000001,4.349108204518424,<1fF
i_tv80_core_n_2959,5.70127,5.572167,0.12910299999999975,1.4636939499999997,1.8225697958999998,4.237582425840003,3.7495965000000004,896.4085809999997,886.1516880799999,2.2644603746182823,5-20fF
FE_OFN88_i_tv80_core_i_mcode_n_12687,4.39501,4.307753,0.08725700000000014,1.4702643499999999,1.5872095476000003,2.924740686001998,2.7205430299999995,628.513379,616.9802120499997,1.9853652210120147,1-5fF
n_1273,0.951712,0.959139,0.007426999999999961,0.1953846,0.33915626101999996,0.7563287665269999,0.6199831699999998,167.307594,167.85664698,0.7803831411183174,<1fF
i_tv80_core_BusB[2],7.47683,6.888557,0.588273,3.0468312500000003,2.7941139999000035,4.429999804795997,4.094442879999999,1175.3503560000001,1176.6447784899992,7.867946710036206,5-20fF
n_1071,1.07693,1.137886,0.06095600000000001,0.248037,0.38523781300000004,0.8288893612999998,0.7526482300000001,155.043885,158.81726531000004,5.660163613233917,1-5fF
n_2188,0.420566,0.515979,0.09541299999999997,0.20703660000000002,0.24926460328000002,0.2135287941,0.2667139620000001,139.665716,132.49050185,22.68680777808952,<1fF
n_127,0.190029,0.259318,0.06928899999999999,0.09273809999999999,0.11685471100000001,0.097291309,0.14246346809999996,50.967442,51.985873639999994,36.462329433928495,<1fF
i_tv80_core_final_adder_add_1282_22_n_442,0.439068,0.470047,0.03097899999999998,0.1938628,0.18752025636999997,0.24520508869000002,0.28252625699999995,140.37216599999996,140.6246867,7.055626918837168,<1fF
n_1111,3.14543,2.965947,0.17948300000000028,1.1231206200000001,1.2483905592000002,2.0223125038,1.7175563499999997,449.0298210000002,443.3249062200003,5.706151464187735,1-5fF
n_1409,0.618301,0.675685,0.05738399999999999,0.17503459999999998,0.2817705617,0.44326607422600006,0.39391432100000007,138.97451700000002,137.52803715999997,9.28091657623067,<1fF
n_568,0.135343,0.130908,0.0044349999999999945,0.0612274,0.05476912543000002,0.07411609504000004,0.07613883080000002,46.95938500000001,46.41607434,3.2768595346637763,<1fF
n_1247,0.745576,0.804962,0.05938599999999994,0.3524541,0.28649976783999986,0.39312241870000003,0.518461923,201.44341200000005,201.96251,7.965116902904591,<1fF
FE_OFN11_i_tv80_core_ISet_1,12.6771,13.073217,0.3961170000000003,4.413156110000001,4.8822237130999975,8.263942434560004,8.1909935,1895.5860870000013,1841.4049190299963,3.124665735854417,5-20fF
i_tv80_core_n_40099,1.2042,1.307186,0.10298600000000002,0.4713920100000001,0.5908994777000002,0.7328088698269997,0.7162864000000002,214.78846200000004,214.11464645000007,8.552233848197977,1-5fF
i_tv80_core_TmpAddr[10],1.60074,1.741268,0.140528,0.6774245200000001,0.77990162502,0.9233163350000008,0.9613669,334.25069099999996,326.9835690599998,8.778939740370078,1-5fF
