net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_30,5.6878,5.564883,0.12291700000000017,1.46684175,1.6062710000000004,4.220959734319997,3.9586029999999996,905.023883,886.5061657100006,2.161064031787337,5-20fF
n_1122,0.674955,0.643237,0.031718000000000024,0.11163390000000001,0.14228500000000002,0.5633206031120002,0.500952,112.22891900000002,109.35640540000001,4.69927624804617,<1fF
n_1034,0.175847,0.196642,0.020795000000000008,0.07118941000000001,0.06498499999999999,0.10465751009999999,0.131658,69.53803599999999,71.35367271999999,11.825621136556215,<1fF
n_2467,0.0935463,0.103063,0.009516700000000003,0.0297256,0.026649,0.0638206346,0.07641200000000002,45.220382,43.63040705000001,10.173251106671245,<1fF
i_tv80_core_add_1283_17_n_366,0.235727,0.222016,0.013711000000000001,0.0463835,0.074212,0.18934315879999997,0.14780900000000002,73.545833,72.16677229999999,5.816474141697812,<1fF
n_2287,0.487513,0.505032,0.017519000000000062,0.25461429999999996,0.14769400000000002,0.23289812129999998,0.35733899999999996,126.88732399999998,127.23070173999997,3.593545197769098,<1fF
i_tv80_core_n_264,0.958193,0.97446,0.01626700000000003,0.27243039999999996,0.32870500000000014,0.6857621912929993,0.6457559999999999,212.83336799999995,204.98099535000003,1.6976746855800484,<1fF
n_295,0.368408,0.348974,0.019434000000000007,0.0764975,0.12444000000000002,0.2919108277799999,0.22453800000000004,127.035984,109.92667434999998,5.275129747453911,<1fF
n_1345,1.31166,1.30213,0.009530000000000038,0.3243671,0.37043000000000015,0.9872908160000008,0.9316959999999999,229.705486,227.7815236800001,0.7265602366466949,1-5fF
i_tv80_core_i_mcode_n_13565,9.14033,8.559185,0.5811450000000011,2.627414210000001,3.1278449999999998,6.512912740719996,5.431329999999999,1378.9093240000007,1353.8017392799998,6.358030836961041,5-20fF
n_1920,0.346691,0.297604,0.04908700000000005,0.0744817,0.12230400000000004,0.2722093766,0.17529899999999998,65.970384,62.8042612,14.158717705391846,<1fF
n_830,0.193888,0.185417,0.008471000000000006,0.08511880000000001,0.07012700000000001,0.10876872671999994,0.115288,77.22579599999999,76.55212250999999,4.369017164548609,<1fF
