net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_2283,0.571164,0.611535,0.040371000000000046,0.24728809000000002,0.22794782713,0.32387571329999987,0.38358690100000004,135.02452499999998,134.86843087999998,7.068197575477455,<1fF
i_tv80_core_add_1283_17_n_355,0.805781,0.853817,0.04803600000000008,0.43828139,0.3712249999999998,0.3675002268900003,0.4825919999999999,166.860538,156.63257355999997,5.961421279479174,<1fF
halt_n,2.29153,2.060761,0.230769,1.31940634,0.9695158737000001,0.972122324499999,1.0912448009999993,479.58307000000013,484.5243465600002,10.070520569226675,1-5fF
n_1643,0.145646,0.14961,0.003963999999999995,0.0781731,0.07910525580000001,0.06747331170000002,0.07050469229999998,70.539195,70.74115587000001,2.721667605014896,<1fF
n_1558,1.57848,1.604101,0.025620999999999894,0.8400828,0.5714480173300001,0.7383939893999995,1.0326529499999997,233.10004800000004,234.70868727999996,1.6231437838933591,1-5fF
n_1628,0.329688,0.335757,0.006069000000000047,0.1862664,0.14856996032000003,0.14342152449999998,0.187186795,90.85853499999999,92.86626568,1.840831331440649,<1fF
n_568,0.135343,0.131009,0.0043340000000000045,0.0612274,0.05584907711,0.07411609504000004,0.0751594359,46.95938500000001,46.41607434,3.2022343231641126,<1fF
n_795,0.147537,0.160875,0.013337999999999989,0.0674669,0.05471425282999999,0.0800696983,0.10616028300000002,48.335693000000006,48.956843850000006,9.040444091990476,<1fF
n_976,0.332944,0.329747,0.0031970000000000054,0.1187879,0.1281754243,0.21415644510000004,0.201571818,96.03755299999999,90.98695396000002,0.96022153875727,<1fF
n_478,0.207544,0.205473,0.0020710000000000173,0.06107777,0.08209382999999999,0.1464662,0.123379603,76.99330499999999,77.79586568,0.9978606945997077,<1fF
n_1001,0.173103,0.167422,0.005681000000000019,0.10755410000000001,0.081112508,0.06554868949999999,0.08630954730000001,72.919288,72.47388183000002,3.2818610884849018,<1fF
i_tv80_core_i_reg_RegsL\[7\][2],1.63868,1.969051,0.3303710000000002,0.77331849,0.856111,0.8653614535700003,1.1129399999999994,285.684601,291.79745451999986,20.160800156223317,1-5fF
n_1651,0.112234,0.128563,0.01632900000000001,0.043135900000000005,0.05120311993000002,0.06909819580000001,0.077359611,68.668396,68.93146707999996,14.549067127608398,<1fF
n_1750,0.19911,0.193192,0.005918000000000007,0.1140809,0.11609742381,0.0850290112,0.0770946738,77.037176,77.09637380000002,2.972226407513438,<1fF
n_1105,3.25428,3.870068,0.6157879999999998,1.1685068559999996,1.5051853386600003,2.085773868204001,2.3648829999999994,462.5827179999999,471.40717220000016,18.922403726784413,1-5fF
i_tv80_core_i_mcode_n_14735,2.36086,2.185885,0.17497500000000032,1.1610451999999996,0.6897161107,1.1998232809160008,1.4961692399999997,284.7794180000001,277.9806245500002,7.411494116550761,1-5fF
n_1817,0.13738,0.138615,0.0012349999999999861,0.0908629,0.06982177300000002,0.046517064899999995,0.0687936821,72.86731100000002,70.44317256,0.8989663706507396,<1fF
do[6],1.70299,1.609284,0.09370600000000007,0.9892893000000001,0.7954471378000001,0.7136982389999998,0.813836326,373.81738699999994,372.4854632999999,5.502439826422942,1-5fF
i_tv80_core_i_reg_RegsH\[2\][7],1.25157,1.400244,0.14867399999999997,0.46982149000000006,0.6088000000000002,0.7817505845753002,0.791444,230.165464,230.3903784,11.878999976030103,1-5fF
n_61,0.177302,0.200146,0.022844000000000003,0.07627010000000001,0.07025387699999998,0.10103221529999999,0.12989195900000003,73.245386,73.74205872,12.884231424349418,<1fF
n_697,0.549333,0.522178,0.02715499999999993,0.2719254,0.22441304559999994,0.2774069644,0.29776491383,116.748368,116.62683318,4.943267562662344,<1fF
n_1023,1.59844,1.654302,0.055861999999999856,0.293636,0.5136426253299999,1.3048074083000007,1.1406592000000002,217.898993,216.44744253000005,3.4947824128525222,1-5fF
n_425,0.30551,0.296965,0.008545000000000025,0.12089685,0.11851367035999999,0.18461261869999995,0.17845112200000002,86.430465,75.30452779999999,2.796962456220754,<1fF
n_1167,0.334709,0.368231,0.033521999999999996,0.15743580000000001,0.140241676,0.17727337249999997,0.227988844,90.361267,94.67912356,10.015266993119395,<1fF
n_1685,0.409271,0.453527,0.04425600000000002,0.09608683999999999,0.14333011277000002,0.31318445139999973,0.310196589,132.15962,135.02995609999994,10.813373046221212,<1fF
n_1243,0.127598,0.136763,0.009165000000000006,0.04022991,0.06747734899999999,0.08736769189999999,0.069285976,81.13399,86.72129792,7.182714462609137,<1fF
n_1471,0.0858051,0.100516,0.014710899999999999,0.0216962,0.033591550100000006,0.0641089642,0.06692429050000002,40.08088500000001,40.54117832000001,17.14455201380804,<1fF
n_2453,0.463061,0.494226,0.031164999999999998,0.2515459,0.22089922506000004,0.21151504029999998,0.27332655,102.709586,102.67251590000002,6.730214809711894,<1fF
n_2462,0.139442,0.152823,0.013380999999999976,0.06653909000000001,0.06030708,0.07290250672000002,0.09251566200000001,73.55568,71.99445141000001,9.596104473544537,<1fF
i_tv80_core_Read_To_Reg_r[4],0.414722,0.480793,0.06607100000000005,0.12655295,0.16924407290000001,0.2881690738,0.31154864900000007,135.115138,136.61014776000005,15.931395006775634,<1fF
n_2212,0.525316,0.507932,0.017383999999999955,0.1948458,0.247953271,0.33046972300000005,0.2599786229999999,80.31295999999999,79.78450099999998,3.309246244165408,<1fF
n_1870,0.344707,0.31416,0.03054699999999999,0.151843,0.12242049069,0.19286441989999997,0.19173944400000004,87.43814,89.07993801999997,8.861728946612628,<1fF
i_tv80_core_n_41164,0.826959,0.73554,0.09141900000000003,0.27006637,0.24909629353999999,0.5568926278999995,0.486443657,163.17986900000002,158.61958769999998,11.054840687385955,<1fF
n_1239,0.0812018,0.086829,0.005627199999999999,0.0230641,0.026675319500000003,0.0581377915,0.060153198399999996,40.154109000000005,40.04213541,6.929895642707426,<1fF
n_2316,0.772753,0.745614,0.027139000000000024,0.2099461,0.32417999999999986,0.5628070349,0.42143400000000003,154.76105399999997,156.97499843999998,3.511988953779542,<1fF
FE_OFN74_i_tv80_core_n_210,3.09586,3.145847,0.04998699999999978,1.04271004,1.0245629976999997,2.053149201419999,2.1212841499999997,480.9173350000001,468.96454857000043,1.6146401969081219,1-5fF
n_1127,0.517121,0.487276,0.029845000000000066,0.21935654999999998,0.17555923460000006,0.2977640300000001,0.311716705,99.10482399999998,98.29990752,5.771376525029937,<1fF
i_tv80_core_i_mcode_n_14194,1.83547,1.577186,0.25828399999999996,0.49709026,0.5138715527000001,1.3383767954840005,1.0633147599999997,379.849897,372.1770591999999,14.071818117430412,1-5fF
i_tv80_core_RegBusA_r[7],0.778213,0.772763,0.005450000000000066,0.37413394,0.2969730126600001,0.40407888310000006,0.47579006300000004,167.618381,162.84395328000002,0.7003224053054968,<1fF
n_532,1.49188,1.444767,0.04711300000000018,0.41399859999999994,0.5415720582700001,1.0778836190999994,0.9031952299999998,213.33465299999997,213.52923633000003,3.1579617663619177,1-5fF
i_tv80_core_n_18872,3.60025,3.868665,0.26841500000000007,1.1822504500000002,1.362507811880001,2.4180006706933956,2.5061574299999996,580.1567190000002,578.7515479200005,7.455454482327618,1-5fF
i_tv80_core_TmpAddr[15],0.626927,0.563568,0.06335900000000005,0.2429791,0.2508628917,0.3839481992000001,0.31270525900000007,165.46920300000002,162.72124630000005,10.106280316528089,<1fF
n_1920,0.346691,0.295528,0.051163000000000014,0.0744817,0.12679923922,0.2722093766,0.168728823,65.970384,62.8042612,14.757521827794784,<1fF
n_2259,0.142646,0.162106,0.019460000000000005,0.08792509999999999,0.06786828126,0.0547207548,0.09423727009999999,71.95548599999998,72.91683544000001,13.642163117087058,<1fF
n_1863,0.391236,0.381403,0.00983299999999998,0.1873809,0.11378795649999997,0.20385538140000006,0.267615104,90.274255,89.20984443999998,2.513316770440343,<1fF
i_tv80_core_PC[15],4.08196,3.575963,0.5059969999999998,1.8631457399999998,1.4800670540000005,2.2188077417000023,2.09589612,592.3407970000001,581.2610345499995,12.39593234622583,1-5fF
n_1047,0.962072,0.893079,0.06899300000000008,0.4404069,0.2934537073300001,0.5216644775000002,0.5996249499999998,164.76419,160.22432843,7.171292793054998,<1fF
i_tv80_core_SP[4],5.47692,5.032854,0.4440659999999994,2.18700421,1.8523867896000001,3.289904964419003,3.1804667400000004,701.5614330000001,690.8156114799996,8.107951184242228,5-20fF
n_178,0.131559,0.121624,0.009935000000000013,0.0194376,0.0371357502,0.11212148800000002,0.0844882764,41.441771,40.496852800000006,7.551744844518439,<1fF
i_tv80_core_add_1283_17_n_368,0.263584,0.249923,0.013660999999999979,0.09394605,0.0867530631,0.16963810750000002,0.16316952399999998,90.73814,90.30533262000002,5.182788029622428,<1fF
i_tv80_core_n_16825,2.17101,2.107443,0.06356699999999993,1.0024791899999999,0.8358334146000005,1.1685251002700003,1.2716093800000001,324.079981,315.15647221000006,2.9279920405709756,1-5fF
i_tv80_core_SP[8],5.12883,5.302665,0.1738350000000004,1.7421705599999997,1.9293693929100009,3.386661106679989,3.37329596,739.202227,740.0875951600005,3.389369505325784,5-20fF
n_507,0.340471,0.422728,0.08225699999999997,0.1349734,0.15805061009000002,0.2054980794000001,0.264677458,116.63367200000002,119.21635472,24.15976691113192,<1fF
n_2127,0.329914,0.365738,0.03582400000000002,0.15434702,0.16533427759999997,0.17556726326999997,0.20040344799999998,123.922179,127.01667834999998,10.858587389440892,<1fF
i_tv80_core_n_16823,0.76834,0.742119,0.02622100000000005,0.47289475999999997,0.35450151899999993,0.29544541929479984,0.387617605,135.567766,146.28923501000003,3.4126818856235586,<1fF
n_1084,1.19955,1.381579,0.182029,0.32827873,0.42290618056000007,0.8712705626399999,0.95867258,197.96823600000002,199.19995695999998,15.17477387353591,1-5fF
n_1391,0.252968,0.295562,0.042593999999999965,0.10360868599999999,0.11146781840000003,0.14935850359999997,0.18409468099999995,92.23711699999998,97.63280151999997,16.83770279244804,<1fF
n_1795,0.92371,0.99135,0.06763999999999992,0.30415220000000004,0.2985110398799999,0.6195582856999996,0.692838959,168.635839,171.44171919999997,7.322644552944098,<1fF
n_1466,0.310876,0.271968,0.038908,0.21369237000000002,0.16156640084000007,0.0971837616,0.11040165900000003,85.85450700000001,84.89024871999996,12.515601075670041,<1fF
n_1584,0.330526,0.313768,0.016757999999999995,0.1133768,0.11847614939999998,0.21714836920000005,0.1952919699999999,86.56978600000001,85.56252748,5.070100385446227,<1fF
n_1566,0.226743,0.235239,0.008496000000000004,0.0582173,0.09951071235000002,0.16852556120000006,0.13572796499999995,79.90647299999999,80.88160221,3.7469734457072557,<1fF
i_tv80_core_add_1283_17_n_324,0.2781,0.294101,0.016000999999999987,0.0989748,0.11985026085000001,0.1791258652,0.174251084,97.948012,94.55400970000002,5.7536857245595066,<1fF
A[5],2.29839,2.370399,0.07200899999999999,1.3649784,0.9141654961000001,0.9334105014999987,1.4562331300000002,492.970498,490.1477760199998,3.133019200396799,1-5fF
n_1847,2.59435,2.535945,0.05840500000000004,0.73500647,0.9242362568000003,1.8593433349300013,1.61170895,538.2834680000001,541.2404110100002,2.2512382677742035,1-5fF
