net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_1319,5.83301,5.254304,0.5787059999999995,2.9932336499999996,2.2085259999999978,2.839780430690003,3.045776000000001,992.6296149999997,915.5280986299992,9.921224204998783,5-20fF
n_200,0.546522,0.599859,0.05333700000000008,0.12332202999999999,0.20774600000000004,0.42319949439999993,0.392109,150.73047799999998,146.30143750000008,9.759350950190493,<1fF
n_494,0.113272,0.117773,0.004501000000000005,0.0509109,0.029816000000000002,0.06236138530000001,0.08795300000000002,43.564108,44.11978112,3.9736210184335095,<1fF
n_1207,0.909253,0.916276,0.0070230000000000015,0.3633476,0.39342299999999997,0.5459064924940001,0.522854,174.44538000000006,178.67852156,0.7723922824560383,<1fF
n_1983,3.75116,3.40861,0.34255000000000013,1.6837248000000002,1.2927269999999975,2.067433035285999,2.115873,634.9782689999998,635.0090695999999,9.13184188357735,1-5fF
n_1415,2.12815,2.207733,0.07958299999999996,0.6850713700000001,0.6822870000000001,1.443073184570001,1.5254400000000001,359.5937660000001,355.3166471499998,3.7395390362521415,1-5fF
i_tv80_core_n_41359,0.327578,0.303874,0.023704000000000003,0.05290487000000001,0.09341699999999999,0.27467279670000005,0.21045600000000003,97.07265199999999,96.52441653000002,7.236139179065751,<1fF
i_tv80_core_final_adder_add_1282_22_n_347,0.0939852,0.082792,0.0111932,0.0236156,0.024304000000000006,0.0703696303,0.05848899999999999,39.93399800000001,39.00696080000001,11.909534692696297,<1fF
n_2077,3.18028,2.867024,0.3132560000000004,1.4278775799999999,0.9909379999999999,1.7524044094879996,1.8760870000000003,407.477596,392.7860783000001,9.849950318839863,1-5fF
n_73,0.0745352,0.086215,0.011679800000000004,0.0509921,0.043290999999999996,0.02354305479999999,0.04292399999999999,40.347436,40.556974180000005,15.67017999549207,<1fF
n_948,1.02416,1.085092,0.060931999999999986,0.21935489000000002,0.36183499999999996,0.80480842812,0.72326,198.693458,200.3241367999999,5.949461021715355,1-5fF
n_51,0.998834,1.049838,0.05100400000000005,0.14294294,0.2941490000000001,0.8558919604999996,0.7556889999999997,192.32009299999999,189.81412415,5.106354008774236,<1fF
n_1087,2.99491,3.269923,0.27501299999999995,1.15231673,1.3051440000000007,1.8425959570000001,1.9647770000000004,507.4646120000001,515.4604267500002,9.182679946976702,1-5fF
n_752,0.276479,0.291544,0.01506500000000005,0.1472277,0.13824799999999998,0.12925131691000002,0.15329700000000002,86.271893,86.94998284000002,5.448876768217496,<1fF
n_2092,0.166092,0.188223,0.022131000000000012,0.0507475,0.049898,0.1153444739,0.138323,78.728494,80.70985048000001,13.32454302434796,<1fF
n_580,0.0807197,0.089517,0.008797299999999994,0.0209144,0.023073000000000003,0.05980534450000002,0.066444,38.69963500000001,39.903976840000006,10.898578661714541,<1fF
n_738,0.261275,0.308736,0.04746100000000003,0.10001699,0.10370700000000002,0.1612583142,0.20502700000000001,91.790305,88.01356976000002,18.16515166012823,<1fF
n_321,0.166843,0.162304,0.0045389999999999875,0.0596617,0.056653,0.10718139380000002,0.10564600000000003,67.914342,67.63232526000002,2.7205216880540317,<1fF
n_542,0.717058,0.743603,0.02654500000000004,0.12621697999999998,0.197388,0.5908410077999999,0.5462119999999999,167.39240999999998,162.66472394000004,3.701932061283751,<1fF
n_1444,0.41197,0.405138,0.006832000000000005,0.12651236,0.161257,0.28545804618000004,0.24388099999999996,121.373111,122.77452423999998,1.658373182513291,<1fF
n_859,0.276211,0.292038,0.015827000000000035,0.06172852,0.08490200000000002,0.21448217230000005,0.207138,84.85719099999999,85.10217365000003,5.730039716014219,<1fF
n_384,1.14964,1.055027,0.09461300000000006,0.29352628000000003,0.352687,0.8561138510999994,0.7023389999999999,182.640909,179.12932475,8.2297936745416,1-5fF
n_1442,0.293318,0.286062,0.00725600000000004,0.08572537000000001,0.12000999999999998,0.20759224279999997,0.16605399999999998,62.24332100000001,61.39943151999999,2.4737656741147966,<1fF
i_tv80_core_Read_To_Reg_r[0],3.87338,3.772044,0.10133599999999987,1.2733990800000001,1.3006079999999998,2.5999790005999994,2.4714380000000005,532.5334799999999,514.2160735200001,2.616216327858353,1-5fF
n_2373,0.379027,0.396336,0.01730900000000002,0.18480819999999998,0.189643,0.19421882724100004,0.20669399999999996,67.83311900000001,67.6183921,4.566693137955876,<1fF
n_1066,0.162098,0.166879,0.0047810000000000075,0.0751385,0.06549400000000001,0.08695929590000001,0.10138499999999999,69.87472700000001,72.24907556000001,2.9494503325149033,<1fF
