net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_39,3.17679,3.129573,0.04721699999999984,1.22256593,1.2661669999999994,1.9542249431020007,1.863403,566.9189229999998,568.6189237599999,1.4863116542169876,1-5fF
n_1212,0.518491,0.452196,0.06629500000000005,0.3685278,0.26060099999999997,0.14996283079999995,0.191595,104.785634,109.00723092000001,12.786142864582036,<1fF
n_1641,0.356602,0.36326,0.006658000000000053,0.1388707,0.14443899999999996,0.21773063400000003,0.21882100000000002,88.21485600000001,87.67196995999998,1.8670674870023312,<1fF
n_2398,2.32372,2.258468,0.06525199999999964,0.78912318,0.7457749999999995,1.534601371360001,1.5126940000000002,409.8906820000001,400.24693034999996,2.8080835901055057,1-5fF
i_tv80_core_n_210,2.92641,3.145694,0.21928400000000003,0.8973833,0.9122379999999995,2.029031565300002,2.2334590000000003,550.802057,550.8238157599999,7.493276745227089,1-5fF
n_2308,0.347264,0.331636,0.01562800000000003,0.1373868,0.13219000000000003,0.20987668919999997,0.199447,65.805534,65.44630906,4.500322521194258,<1fF
n_1690,0.145075,0.151849,0.006774000000000002,0.06886314,0.07018600000000001,0.07621222100000007,0.08165700000000001,47.01252600000001,46.760146800000015,4.66930897811477,<1fF
n_1133,0.163363,0.155415,0.00794800000000001,0.0463569,0.050206999999999995,0.11700576259999998,0.10520599999999998,50.242998,52.02338671999999,4.865238762755342,<1fF
n_1635,1.30231,1.360422,0.05811199999999994,0.43815620000000005,0.45978099999999994,0.8641539151210004,0.900642,234.559267,230.31443307999996,4.462224815904043,1-5fF
n_1699,1.25068,1.091902,0.15877800000000009,0.6734803,0.5301260000000002,0.5771982092000002,0.5617770000000001,257.251191,244.9273694899999,12.695333738446294,1-5fF
i_tv80_core_BusA[3],4.54239,4.319221,0.2231690000000004,1.43032688,1.6125220000000018,3.1120587139000007,2.7066999999999997,635.3873299999999,623.9354926499997,4.91303036507214,1-5fF
n_1396,0.470623,0.486913,0.01628999999999997,0.2250684,0.21170000000000003,0.24555414269599998,0.275213,104.078207,104.19241004000001,3.461369291343596,<1fF
n_1021,0.435861,0.41139,0.02447100000000002,0.12469125,0.15004500000000004,0.31117057389999997,0.2613480000000001,94.46930800000001,96.64451872000002,5.614404592289748,<1fF
n_1561,0.107636,0.126926,0.019290000000000015,0.03211529,0.0325,0.07552039219999998,0.09442599999999998,57.590173,56.88176854999999,17.921513248355584,<1fF
n_1365,0.239645,0.2647,0.025054999999999994,0.0801106,0.09289900000000004,0.15953451030000002,0.17180300000000007,82.67940899999999,83.52972996,10.455048091969369,<1fF
