net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_573,0.373408,0.360252,0.013156000000000001,0.113535,0.12148600000000001,0.2598734237,0.23876599999999998,88.672646,90.45760471999998,3.523223926643243,<1fF
n_910,0.0778534,0.076739,0.0011144000000000015,0.0120623,0.017633,0.0657910502,0.059107,38.711327000000004,38.729658,1.4314082621953588,<1fF
i_tv80_core_i_mcode_n_13489,3.17196,3.085108,0.08685199999999993,0.9915042000000001,1.264156999999999,2.1804531197999983,1.8209549999999999,482.32726100000014,480.6172426799998,2.7381177568443467,1-5fF
n_1056,0.754014,0.800831,0.046817,0.24203633000000002,0.33914200000000005,0.5119789829253003,0.46168500000000007,143.945379,144.83378476000001,6.209035906495105,<1fF
n_2401,0.385244,0.415899,0.030655000000000043,0.2751947,0.270923,0.11004938731000002,0.14497599999999997,106.346571,102.52631465999997,7.957294597709515,<1fF
n_51,0.998834,1.005097,0.0062629999999999075,0.14294294,0.28161499999999995,0.8558919604999996,0.7234820000000001,192.32009299999999,189.81412415,0.6270311182839098,<1fF
di[6],5.7622,6.501977,0.7397770000000001,2.5034099869999995,2.320725999999999,3.2587888063299992,4.181252000000001,945.1137989999999,951.3542885400003,12.838447120891328,5-20fF
n_2217,1.70037,1.562114,0.13825599999999993,0.31898524,0.5229509999999998,1.3813816539000003,1.0391590000000002,252.431555,245.1339457999999,8.130936208001785,1-5fF
n_2117,0.12607,0.131492,0.00542200000000001,0.04640954,0.05187400000000001,0.07966003839999998,0.07961800000000001,74.92629,73.48184466000001,4.3007852780201565,<1fF
n_253,2.34238,2.243516,0.09886399999999984,0.6458656899999999,0.6819710000000002,1.6965172033799998,1.5615409999999998,390.6308770000001,382.90339689999985,4.2206644523945664,1-5fF
n_451,0.585275,0.558434,0.026841000000000004,0.23610910000000002,0.13639299999999996,0.34916539780000005,0.4220359999999999,133.241918,130.85148711999994,4.586049293067362,<1fF
i_tv80_core_n_16816,1.20394,1.163736,0.040203999999999906,0.66944425,0.37025600000000014,0.5344996304999997,0.7934799999999999,186.766267,189.36006562000006,3.3393690715484086,1-5fF
n_818,0.313366,0.303323,0.010042999999999969,0.08940465,0.08845799999999998,0.22396114419999993,0.21486699999999997,86.282142,86.22810507999999,3.2048786403119576,<1fF
n_1700,0.921815,0.950272,0.028456999999999955,0.47686720000000005,0.46956,0.44494781399999983,0.48070300000000005,229.237081,231.04257206999998,3.0870619375905095,<1fF
n_661,0.632302,0.621027,0.011275000000000035,0.2538978,0.185605,0.3784040505,0.435423,111.070762,110.073149,1.7831669044222593,<1fF
n_1677,0.312995,0.327829,0.014833999999999958,0.16394259,0.099509,0.149051829117,0.22832199999999997,89.61099300000001,86.49495515999996,4.739372833431831,<1fF
i_tv80_core_n_2959,5.70127,5.663262,0.038008000000000486,1.4636939499999997,1.689790000000001,4.237582425840003,3.973475,896.4085809999997,886.1516880799999,0.666658481355917,5-20fF
n_1398,0.126412,0.143317,0.016905000000000003,0.0912762,0.08001000000000001,0.0351359368,0.06331,71.55032200000001,70.60844183999997,13.372939277916657,<1fF
i_tv80_core_n_3934,2.84463,3.001143,0.1565129999999999,1.50597113,1.537011999999999,1.3386594110659997,1.4641330000000001,749.2211780000001,717.6769499000006,5.502051233376569,1-5fF
n_613,6.28826,5.203741,1.0845190000000002,1.3357492699999995,1.9315029999999995,4.9524985237,3.272232,754.6705909999997,709.8522566499997,17.246726439428397,5-20fF
i_tv80_core_ACC[2],7.92837,7.063552,0.8648180000000005,2.78326258,2.766783000000002,5.145113127588009,4.296763,1114.564386,1092.9170378199997,10.907891533820955,5-20fF
n_1115,0.143142,0.146323,0.003181000000000017,0.0927564,0.086419,0.050385303,0.05990600000000001,69.728009,69.29288539999999,2.222268796020747,<1fF
n_165,0.460554,0.422631,0.03792300000000004,0.2288988,0.17010900000000004,0.23165497186,0.252523,142.45904499999997,138.94920912000003,8.234213577560947,<1fF
n_1867,0.159517,0.177226,0.017709000000000003,0.03184849,0.039672000000000006,0.1276682101,0.13755599999999996,78.691464,76.38533225,11.101638069923583,<1fF
n_1293,0.782045,0.828134,0.04608900000000005,0.22398865099999998,0.24629899999999996,0.5580567243999999,0.581838,204.36396299999996,207.0284226800001,5.893394881368725,<1fF
i_tv80_core_add_1284_21_n_409,0.245368,0.213008,0.03236,0.05892862,0.08595900000000002,0.1864396801,0.12704700000000002,65.565878,65.97317982999999,13.188353819568974,<1fF
n_649,0.235906,0.195592,0.040314000000000016,0.0525322,0.06965499999999998,0.18337342059999998,0.125932,51.270094,50.92516448,17.089010029418503,<1fF
n_1937,0.372598,0.412435,0.03983700000000001,0.0838212,0.118629,0.28877704870000004,0.293803,102.854152,105.97884970000001,10.691683798624794,<1fF
n_131,0.160189,0.140014,0.020175,0.06777554,0.065667,0.09241346360000001,0.074349,71.34749,71.31866982999999,12.594497749533362,<1fF
i_tv80_core_add_1284_21_n_338,1.31169,1.379982,0.06829200000000002,0.7785781900000001,0.7538070000000003,0.5331149371200007,0.6261760000000001,252.77399300000002,251.64077024999992,5.206413100656406,1-5fF
n_1668,0.372141,0.403941,0.031799999999999995,0.31403653,0.29658999999999996,0.05810526540000001,0.10734999999999999,80.65638400000002,81.70200428000001,8.545148209952679,<1fF
i_tv80_core_PC[13],4.31023,4.529768,0.219538,2.1760254889999997,1.7500849999999988,2.1341979608000012,2.7796869999999996,697.378268,670.18141816,5.093417288636569,1-5fF
i_tv80_core_final_adder_add_1282_22_n_347,0.0939852,0.083055,0.010930200000000001,0.0236156,0.024382,0.0703696303,0.058673,39.93399800000001,39.00696080000001,11.629703400109804,<1fF
i_tv80_core_ISet[1],10.7122,9.999025,0.7131749999999997,3.56507076,3.523986000000006,7.1471282753560015,6.475047000000001,1667.0895080000007,1605.45971718,6.657596012023672,5-20fF
i_tv80_core_RegBusA_r[6],0.800084,0.705038,0.09504599999999996,0.1993641,0.30653699999999995,0.6007194736999998,0.3985010000000001,161.788579,157.81055397999998,11.879502652221511,<1fF
n_2455,0.128622,0.135689,0.007067000000000018,0.04787417,0.05101300000000001,0.08074778950000001,0.08467300000000004,73.369374,72.52534136,5.494394427080918,<1fF
i_tv80_core_i_reg_RegsL\[2\][6],1.01608,1.264745,0.24866499999999991,0.48682854999999997,0.549889,0.5292540475310002,0.7148560000000002,218.59767000000002,219.74057980000012,24.47297456893157,1-5fF
n_287,0.347215,0.389003,0.04178799999999999,0.07011102999999999,0.10610600000000002,0.27710328779999993,0.282897,115.253378,116.65508168000002,12.035194332042105,<1fF
n_1548,0.150927,0.145594,0.005333000000000004,0.0593764,0.06119799999999999,0.0915505328,0.08439500000000001,73.172097,72.96943044,3.533496326038419,<1fF
i_tv80_core_Fp[5],1.18365,1.1954,0.011749999999999927,0.66569818,0.5197400000000001,0.5179505016000001,0.6756599999999998,199.600471,195.14926567999998,0.9926920964812171,1-5fF
n_871,2.24232,2.161717,0.08060299999999998,0.9637678199999998,0.6494810000000001,1.2785556330299999,1.5122329999999997,383.09703099999996,381.79362790000005,3.594625209604338,1-5fF
n_580,0.0807197,0.088515,0.007795299999999991,0.0209144,0.022818,0.05980534450000002,0.06570000000000001,38.69963500000001,39.903976840000006,9.657246000666492,<1fF
n_840,0.288613,0.291857,0.003243999999999969,0.073545912,0.09554299999999998,0.21506659549999999,0.19630899999999996,86.10583799999999,86.60071885,1.1239964935744298,<1fF
i_tv80_core_i_mcode_n_12991,0.730824,0.743055,0.012230999999999992,0.2601504,0.27605,0.47067374828999997,0.46700500000000006,173.986386,172.83249237999993,1.6735903582805152,<1fF
n_1829,0.332136,0.329378,0.0027579999999999827,0.1398544,0.13742800000000002,0.1922818623,0.191947,89.35648299999998,89.32699946999999,0.8303827347833366,<1fF
rd_n,1.36016,1.071983,0.2881770000000001,0.7945382999999999,0.8247490000000001,0.565619654,0.24723400000000006,299.60385699999995,302.8936125,21.186992706740394,1-5fF
n_907,0.213948,0.185243,0.02870500000000001,0.077997,0.054505000000000005,0.13595067649999998,0.13074000000000002,79.243833,78.80857776,13.416811561687892,<1fF
n_178,0.131559,0.119952,0.011607000000000006,0.0194376,0.03543,0.11212148800000002,0.084522,41.441771,40.496852800000006,8.82265751487926,<1fF
n_1217,0.182967,0.144109,0.038858000000000004,0.09720143,0.067963,0.08576558159999999,0.07614300000000003,74.10797500000001,75.04283548000001,21.23770953232004,<1fF
n_977,0.37474,0.343975,0.030765000000000042,0.1546371,0.10489300000000004,0.22010278100000005,0.23908100000000004,89.843877,88.06665756000001,8.209692053156866,<1fF
n_838,0.275878,0.265043,0.010835000000000039,0.07635828,0.09359999999999997,0.19952017616499998,0.171444,59.60863,58.80348724999999,3.927460689145216,<1fF
n_2285,0.297198,0.283178,0.014020000000000032,0.1390985,0.085082,0.158098609,0.198095,84.395172,84.27742691,4.717393791344501,<1fF
n_115,1.715,1.79461,0.07960999999999996,0.45144498,0.5348820000000002,1.2635550276000003,1.259725,255.172506,260.3503786,4.641982507288627,1-5fF
n_435,0.658332,0.670407,0.012074999999999947,0.26700142,0.29054099999999994,0.39133066020000007,0.37986800000000004,145.03220400000006,145.72587752000004,1.8341809299866854,<1fF
n_1151,0.196287,0.212651,0.016364000000000017,0.04882027,0.081276,0.14746687800000002,0.13137500000000005,92.45713700000002,91.55216688000002,8.336772175436998,<1fF
n_2296,0.390555,0.362974,0.027580999999999967,0.07252284,0.10472400000000001,0.31803222750000004,0.258252,87.524483,85.18457386,7.062001510670704,<1fF
