net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_405,3.01589,2.841089,0.17480099999999998,1.20566632,1.0138014809,1.8102171966199998,1.8272876900000004,597.7254220000001,582.2571780199997,5.796000517260244,1-5fF
n_2230,1.54041,1.53319,0.007220000000000004,0.6156346600000001,0.5168631807800003,0.9247770999797,1.0163268599999997,327.0144850000001,317.07800065,0.46870638336546794,1-5fF
n_2309,0.328247,0.325551,0.0026960000000000317,0.13452384,0.12495810162000001,0.19372319200000002,0.20059292099999998,87.065123,87.18362668,0.8213327159121123,<1fF
i_tv80_core_add_1283_17_n_300,0.463425,0.386266,0.07715899999999998,0.22948995,0.25310144638000004,0.2339348847000001,0.1331643599,166.310844,124.4385767799999,16.649727571883258,<1fF
i_tv80_core_i_mcode_n_13992,1.82141,1.710053,0.11135699999999993,0.57165874,0.602407114,1.2497460790999997,1.10764624,356.4436650000001,347.2021462900001,6.113779983639045,1-5fF
i_tv80_core_TmpAddr[9],2.18564,2.01695,0.16868999999999978,0.5357552600000001,0.7765641820200004,1.6498884018500006,1.2403859461000002,388.414005,373.21029618000006,7.718105451949992,1-5fF
n_1149,0.369523,0.376862,0.007338999999999984,0.1747502,0.12385446693000002,0.1947725282400001,0.25300783899999996,116.60960800000001,116.19831027999997,1.9860739385640365,<1fF
i_tv80_core_i_reg_RegsL\[0\][6],1.19514,1.420411,0.225271,0.5311140999999999,0.6175700000000002,0.6640266365789997,0.802841,230.632672,232.24792989999997,18.848921465267665,1-5fF
i_tv80_core_F[5],1.50736,1.420372,0.08698800000000007,0.73739746,0.5837480609000002,0.7699629694999998,0.83662349,241.171687,237.91965804,5.770884194883775,1-5fF
n_1116,0.455325,0.559236,0.10391099999999998,0.16383029999999998,0.21224077784,0.29149487600000007,0.34699560099999993,103.75086,106.09336492000003,22.82128150222368,<1fF
n_422,1.28029,1.26577,0.014519999999999866,0.39069129,0.41283302190000004,0.8895991134660004,0.85293649,271.8981490000001,270.21580206999994,1.1341180513789741,1-5fF
n_1908,0.184074,0.211604,0.02753,0.0977451,0.09452202199999998,0.08632914200000001,0.117081691,76.43661500000002,78.33393928,14.955941632169672,<1fF
n_1386,0.381875,0.329933,0.051942000000000044,0.06799920000000001,0.13718134369999999,0.31387591029999995,0.192751768,117.356662,116.04065348,13.601833060556476,<1fF
i_tv80_core_i_reg_RegsH\[0\][6],0.790318,0.79603,0.00571200000000005,0.2503904,0.3460989999999998,0.5399276437200002,0.44993099999999997,186.934137,184.63448942,0.7227470461257431,<1fF
n_1970,0.0921241,0.136085,0.04396090000000001,0.0168014,0.039800126139999996,0.07532282449999998,0.09628449699999998,41.361450999999995,42.84880840000001,47.71921788109736,<1fF
n_218,0.276832,0.293269,0.01643699999999998,0.12556936000000002,0.1280815864,0.1512634809,0.165187085,81.656407,83.28960841999998,5.9375361229915535,<1fF
n_1562,0.121468,0.122526,0.0010579999999999895,0.02502486,0.046058693090000005,0.09644314824599998,0.07646743499999997,58.01948,56.897758100000004,0.871011295155917,<1fF
i_tv80_core_final_adder_add_1282_22_n_449,0.22889,0.234563,0.005672999999999984,0.08767180000000001,0.08464698010000005,0.14121859569999998,0.149916456,91.252693,94.74653615000005,2.478483114159633,<1fF
n_2173,0.178986,0.166375,0.012611000000000011,0.043031,0.059399239000000006,0.13595526120000004,0.10697561299999998,47.480255,46.78904754,7.045802464997268,<1fF
n_873,0.402048,0.361543,0.04050500000000001,0.09056437,0.13554360500999998,0.31148418319999993,0.22599987700000002,118.06325799999998,120.46379825000005,10.074667701368993,<1fF
n_2151,0.586302,0.600324,0.014021999999999979,0.30461112,0.296817288,0.28169148140000005,0.30350690399999997,85.33599600000001,83.02133275999999,2.3916002333268485,<1fF
n_2255,0.295113,0.319564,0.024451,0.12225944,0.14615603745000003,0.17285424549000003,0.17340812199999997,64.023906,65.35417966000001,8.285300884745842,<1fF
i_tv80_core_RegAddrC[1],2.33048,2.203764,0.12671600000000005,1.17008407,0.9359748417,1.160392658652,1.2677889000000002,383.172856,377.2952418999997,5.437334797981533,1-5fF
n_2078,5.62059,5.718394,0.097804,2.3615797899999995,2.365752642989999,3.2590148064800006,3.3526418499999995,787.6618509999998,776.34451262,1.7401020177597013,5-20fF
n_1394,0.521246,0.515601,0.005645000000000011,0.32051268,0.2529283668,0.20073317499480003,0.26267287380000004,107.341626,107.56827759999999,1.0829819317558333,<1fF
n_833,0.136803,0.135378,0.0014250000000000096,0.0575096,0.051181738319999996,0.07929308569999999,0.0841965161,47.069416000000004,47.53285808999999,1.0416438236003667,<1fF
n_401,0.143065,0.132676,0.01038900000000001,0.06896832,0.050534349500000006,0.07409675660000002,0.08214199630000002,52.118143999999994,51.189514159999995,7.261734176772802,<1fF
n_131,0.160189,0.145283,0.014906000000000003,0.06777554,0.06685211329999999,0.09241346360000001,0.07843109880000002,71.34749,71.31866982999999,9.30525816379402,<1fF
FE_RN_11_0,0.157806,0.153493,0.004313000000000011,0.0774652,0.0639145421,0.08034110550000002,0.0895787576,42.680992,43.74600862,2.7331026703674204,<1fF
i_tv80_core_i_mcode_n_12687,2.19454,2.213786,0.019245999999999874,0.5420889,0.8122127148700004,1.652447976699999,1.4015732639999996,378.2439750000001,364.1958787299999,0.8769947232677408,1-5fF
n_820,0.31374,0.310017,0.003723000000000032,0.09366468,0.11278622470000002,0.22007440409999998,0.19723068100000005,88.29124499999999,89.16146758000001,1.1866513673742691,<1fF
n_1302,0.230491,0.243825,0.013333999999999985,0.11439724,0.10411254970000004,0.11609416260000001,0.13971285199999997,142.49397600000003,112.52426350000002,5.785041498366525,<1fF
n_631,1.08968,1.031975,0.057704999999999895,0.25239654,0.41835021530000005,0.8372845926999992,0.6136252160000001,179.441892,176.38270984999997,5.2955913662726575,1-5fF
n_1680,0.355638,0.34888,0.006757999999999986,0.15803641999999998,0.15034608759999993,0.19760207549999997,0.19853367800000005,91.205818,91.26220423999999,1.900246880254637,<1fF
n_1227,0.518306,0.540772,0.022465999999999986,0.22613416,0.25136477882999997,0.292172006,0.289406886,109.770735,115.22255507999996,4.334505099304269,<1fF
n_1498,0.338148,0.481892,0.14374399999999998,0.16115839999999998,0.1637569923,0.17698958980000004,0.318135147,95.024901,98.78755947,42.509197156274766,<1fF
i_tv80_core_n_3944,0.205132,0.227622,0.022489999999999982,0.10054864999999999,0.09193374120000002,0.10458334830999996,0.13568787100000002,68.54415100000001,66.6207924,10.963672172064808,<1fF
i_tv80_core_n_221,3.45095,3.494427,0.043476999999999766,1.0984275000000001,1.2812294665000001,2.3525224800199993,2.2131970700000005,567.0817939999997,554.4588818399999,1.2598559816861956,1-5fF
n_2092,0.166092,0.194929,0.028837,0.0507475,0.05694930692,0.1153444739,0.13797994100000002,78.728494,80.70985048000001,17.36206439804446,<1fF
n_845,0.15759,0.147166,0.010424000000000017,0.0661649,0.050054458139999994,0.09142537989999999,0.09711113299999999,47.866009000000005,47.87890346000001,6.614632908179463,<1fF
n_1890,0.262408,0.225862,0.03654599999999997,0.2052237,0.17357151399999998,0.05718432199999999,0.052290351000000006,83.02321799999999,82.91045824000001,13.927166854669053,<1fF
n_622,0.55059,0.541126,0.009464000000000028,0.18205629000000004,0.20193421649999993,0.36853258480000023,0.3391917770000001,147.391757,143.59020470000004,1.7188833796472922,<1fF
n_483,1.49043,1.488157,0.0022729999999999695,0.2249664,0.48999710599999996,1.2654683602100008,0.9981592999999999,207.04031099999997,203.34694796000002,0.15250632367839947,1-5fF
