net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_238,0.121222,0.132167,0.01094500000000001,0.03922891,0.041121000000000005,0.08199312359999998,0.09104600000000002,43.049384,42.90908542,9.028889145534649,<1fF
n_2457,0.286097,0.288826,0.002729000000000037,0.1590832,0.110228,0.1270140183,0.17859599999999998,85.79587399999998,84.38276753000001,0.953872288070143,<1fF
n_2382,0.331966,0.386839,0.054873000000000005,0.11398739999999999,0.14709599999999998,0.2179787023,0.23974099999999998,85.539754,87.9583754,16.5297048492918,<1fF
n_1673,0.643963,0.654679,0.010716000000000059,0.371127,0.3373669999999998,0.27283700949999995,0.317312,126.46500800000001,126.30334939999997,1.6640707618294934,<1fF
i_tv80_core_R[1],1.40144,1.421152,0.019711999999999952,0.6077942200000002,0.5192429999999998,0.7936479977,0.9019090000000002,278.532832,278.2800136,1.4065532595045063,1-5fF
n_1858,0.461843,0.516144,0.054301000000000044,0.12498931000000002,0.12707600000000002,0.3368540558,0.3890699999999999,154.189571,157.09736984999992,11.757458703498818,<1fF
n_2281,0.217172,0.217403,0.00023100000000000898,0.070762349,0.08685800000000002,0.1464099308,0.13054700000000002,73.871163,74.53667904000001,0.10636730333560909,<1fF
n_2201,2.58486,2.497845,0.08701500000000006,0.9082657599999999,0.871407,1.6765904084399998,1.626434,424.727085,410.92412230999986,3.36633318632344,1-5fF
n_487,0.347626,0.364567,0.016940999999999984,0.1579248,0.10503299999999996,0.1897018093,0.25953800000000005,96.013782,91.70145146,4.873340889346592,<1fF
n_1362,1.5142,1.520059,0.005859000000000059,0.75634579,0.43198200000000003,0.7578570200957999,1.088078,273.236177,265.7903833999999,0.3869369964337643,1-5fF
n_1406,0.128037,0.128752,0.0007149999999999934,0.03855163,0.04586,0.0894853565,0.082892,68.192836,68.37636440000003,0.5584323281551374,<1fF
i_tv80_core_n_16829,0.823352,0.770384,0.052968000000000015,0.24527064,0.20738800000000004,0.5780807788999995,0.5630000000000001,146.95720300000005,154.99079821000007,6.4332144696314595,<1fF
n_565,0.221219,0.227734,0.006514999999999993,0.11180624,0.11724499999999997,0.10941182549000002,0.11049399999999998,52.829827000000016,53.7586866,2.9450454074921204,<1fF
n_500,0.208837,0.206194,0.0026430000000000065,0.09035644,0.074681,0.11848056690000003,0.13151300000000002,76.045087,74.93492464,1.2655803329869737,<1fF
n_902,0.120088,0.13913,0.019042000000000003,0.06185514,0.061035,0.0582325229,0.07809300000000001,45.290961,46.56383108000001,15.856705082939182,<1fF
n_793,0.191985,0.163175,0.028810000000000002,0.10273963700000001,0.101739,0.08924533228100001,0.06143599999999999,73.669496,72.52326944000002,15.006380706826056,<1fF
i_tv80_core_n_262,2.35207,2.313527,0.03854299999999977,0.5192599500000001,0.7365100000000004,1.8328042745280022,1.5770110000000002,410.07769500000006,399.9177731500002,1.6386842228334944,1-5fF
i_tv80_core_i_mcode_n_13572,9.45523,8.962262,0.4929679999999994,2.8567133200000003,3.0148520000000043,6.5985146759399935,5.947409000000002,1465.1628160000014,1446.2205605999998,5.213707122936189,5-20fF
n_1814,0.283599,0.295181,0.011582000000000037,0.05142766,0.07072799999999999,0.2321708663000001,0.22445199999999996,96.14766700000001,97.70652375,4.0839354158512675,<1fF
n_2349,0.187612,0.189801,0.0021889999999999965,0.0944748,0.08312900000000002,0.09313731820000001,0.10667100000000004,76.114698,75.98282058,1.166769716222841,<1fF
n_1066,0.162098,0.163115,0.0010170000000000179,0.0751385,0.064018,0.08695929590000001,0.099097,69.87472700000001,72.24907556000001,0.6273982405705301,<1fF
n_1292,2.64167,2.44559,0.1960799999999998,0.7859618399999998,0.839114,1.8557062875999992,1.606478,403.1359860000001,396.30450559999997,7.422577384760391,1-5fF
n_2496,0.152927,0.161453,0.008526000000000006,0.0408401,0.042623,0.11208665219999998,0.11883,49.864113999999994,47.62855037,5.575209086688424,<1fF
n_479,0.995739,0.972197,0.023542000000000063,0.19739261,0.226248,0.7983476462,0.745954,147.77490599999996,148.57379784000005,2.3642741722479546,<1fF
n_1779,0.49477,0.5283,0.033530000000000004,0.1880311,0.195016,0.3067388106000001,0.333281,130.395899,130.41162030000004,6.77688622996544,<1fF
n_839,0.332692,0.313106,0.019585999999999992,0.08656328999999999,0.10895699999999998,0.24612878629999999,0.20414799999999994,87.98419,87.92883317,5.887126832024814,<1fF
n_652,0.146023,0.149375,0.0033520000000000216,0.09242813999999999,0.075443,0.0535951197,0.07393,42.93523100000001,46.26232646,2.2955287865610363,<1fF
