net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_1489,0.115283,0.12815,0.01286699999999999,0.041653800000000005,0.12815,0.07362928559999997,0.0,45.96347900000001,38.637,11.161229322623448,<1fF
n_2488,0.258622,0.228047,0.03057500000000002,0.0029999989999999997,0.228048,0.2556221343999999,0.0,84.7024,67.0207,11.822273433814608,<1fF
n_2356,0.191228,0.177503,0.013725000000000015,0.01580556,0.177502,0.17542248400000002,0.0,74.32082,61.2531,7.177296211851829,<1fF
i_tv80_core_n_16822,0.913179,0.925183,0.012004000000000015,0.05606939,0.9251830000000001,0.8571098947280004,0.0,186.74469399999998,176.090933,1.3145286959073759,<1fF
n_687,0.562722,0.494361,0.06836100000000006,0.0141402,0.49436,0.5485815297,0.0,129.969122,112.052,12.148272148592032,<1fF
n_934,2.40094,2.53487,0.13393000000000033,0.27712015999999995,2.534858,2.1238201141959983,0.0,544.5438359999999,499.972231,5.578231859188499,1-5fF
n_665,0.205985,0.178576,0.02740899999999999,0.0409301,0.178576,0.1650545591,0.0,76.57899900000001,62.0291,13.306308711799398,<1fF
n_2352,0.471626,0.491619,0.019992999999999983,0.08627873,0.491619,0.385346775209,0.0,124.69449200000001,105.201565,4.2391640834050675,<1fF
i_tv80_core_n_16817,1.26233,1.29926,0.03693000000000013,0.15704503,1.299264,1.1052804755060002,0.0,210.31618299999997,201.396564,2.9255424492803095,1-5fF
n_807,0.413601,0.37396,0.03964099999999998,0.003,0.37396,0.41060055399999984,0.0,95.66746999999998,78.95141770000001,9.584357871475161,<1fF
n_2459,0.102577,0.102997,0.0004200000000000037,0.0305498,0.102996,0.07202739428100001,0.0,47.54558900000001,33.128974299999996,0.4094485118496385,<1fF
n_2364,0.128942,0.146508,0.017566,0.05098441,0.146508,0.07795773083999996,0.0,45.792063,39.0340643,13.623179414000091,<1fF
