net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_457,0.535899,0.442833,0.09306600000000004,0.0787578,0.442832,0.45714129136000026,0.0,171.891837,45.60451,17.366332088695824,<1fF
n_2451,0.0903073,0.077616,0.012691299999999989,0.0426834,0.07761599999999999,0.047623924276999983,0.0,45.749771,11.985,14.053459687090623,<1fF
n_370,2.72952,2.63588,0.09364000000000017,0.014000000000000005,2.635876,2.7155235223000016,0.0,428.0316950000001,231.60630000000003,3.4306398194554415,1-5fF
n_863,0.38748,0.347932,0.03954799999999997,0.003,0.34793300000000005,0.38447973729999996,0.0,97.645399,30.9955,10.20646226902033,<1fF
n_544,0.752567,0.705959,0.04660799999999998,0.05942065,0.7059589999999999,0.69314666329,0.0,209.24161700000002,67.84257000000001,6.193202731451151,<1fF
n_1504,0.470801,0.464844,0.005957000000000046,0.03406183,0.464844,0.4367389295009999,0.0,109.24104,48.77328,1.2652904305640909,<1fF
n_1074,0.109264,0.131158,0.021893999999999997,0.0061843,0.131158,0.1030796078,0.0,43.371655999999994,14.607890000000001,20.03770683848294,<1fF
n_2244,0.233707,0.253085,0.019378000000000006,0.00763661,0.25308600000000003,0.22607076000000006,0.0,100.99595699999998,31.060380000000002,8.29157877170988,<1fF
n_1992,0.088146,0.057337,0.030809000000000003,0.04675179,0.057337,0.0413942182,0.0,38.334676,10.669,34.95223833185851,<1fF
n_42,2.61254,2.82749,0.21494999999999997,0.09255341000000002,2.827496,2.519988741692999,0.0,405.91978900000004,260.43529,8.227625222963091,1-5fF
n_2533,0.439739,0.463584,0.023845000000000005,0.039845320000000004,0.46358400000000005,0.39989388842999984,0.0,102.890659,49.24383,5.4225347308289695,<1fF
n_1469,0.1165,0.081994,0.03450600000000001,0.0340338,0.08199400000000001,0.0824659972,0.0,41.325356,10.80077,29.61888412017168,<1fF
n_1913,0.224078,0.185269,0.03880900000000001,0.06102307,0.185271,0.16305511166999997,0.0,60.239427,24.60518,17.319415560652992,<1fF
i_tv80_core_n_183,4.86218,5.24957,0.3873899999999999,0.09861348700000001,5.249567999999999,4.763570502228598,0.0,738.719782,462.44602000000003,7.96741379381265,1-5fF
i_tv80_core_add_1284_21_n_366,0.0666232,0.054792,0.011831199999999993,0.0100352,0.054792,0.0565880786,0.0,34.611412,6.91287,17.758378462757708,<1fF
n_845,0.661916,0.693552,0.031636,0.005,0.693552,0.65691591449,0.0,119.16155899999998,63.830740000000006,4.77945842070595,<1fF
n_2034,3.28386,3.46548,0.18162000000000011,0.63514635,3.465487,2.648716232518001,0.0,705.7647450000002,384.7902100000001,5.530686448265156,1-5fF
i_tv80_core_Fp[2],0.391373,0.413862,0.02248899999999998,0.011629130000000001,0.413862,0.37974378360000005,0.0,127.45802600000002,50.12232,5.746180753398926,<1fF
n_700,0.508864,0.500601,0.00826300000000002,0.09747241000000002,0.5006010000000001,0.41139222177800006,0.0,136.017176,54.974669999999996,1.6238130423846098,<1fF
n_1963,0.645281,0.65835,0.013068999999999997,0.12776605,0.6583509999999999,0.5175150206010003,0.0,140.504686,72.08278,2.0253192020220645,<1fF
i_tv80_core_TmpAddr[2],1.85036,1.81718,0.03317999999999999,0.45046485,1.817184,1.399895073999999,0.0,362.04139700000013,198.51518000000004,1.7931645733803145,1-5fF
